"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"1310","SN 1997L","08:21:57.139","+03:53:35.70","SN Ia","","Anon.           ","","","","","","","","","0","1","","23.1","","1997-01-05 00:00:00.000","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6540; PositionRef=IAUC 6540; Orig Type=Ia   ]","","",""
"1308","SN 1997J","07:41:17.830","+09:33:11.41","SN Ia","","Anon.           ","","","","","","","","","0","1","","23.4","","1997-01-05 00:00:00.000","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6540; PositionRef=IAUC 6540; Orig Type=Ia?  ]","","",""
"1307","SN 1997I","04:59:37.310","-03:09:01.58","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.9","","1997-01-05 00:00:00.000","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6540; PositionRef=IAUC 6540; Orig Type=Ia   ]","","",""
"1306","SN 1997H","04:59:36.569","-03:09:34.60","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.8","","1997-01-05 00:00:00.000","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6540; PositionRef=IAUC 6540; Orig Type=Ia   ]","","",""
"1305","SN 1997G","04:58:30.230","-03:16:04.01","SN Ia","","Anon.           ","","","","","","","","","0","1","","23.7","","1997-01-05 00:00:00.000","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6540; PositionRef=IAUC 6540; Orig Type=Ia   ]","","",""
"1297","SN 1997F","04:55:14.270","-05:51:44.78","SN Ia","","Anon.           ","","","","","","","","","0","1","","23.9","","1997-01-05 00:00:00.000","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6540; PositionRef=IAUC 6540; Orig Type=Ia   ]","","",""
"1270","SN 1997E","06:47:38.100","+74:29:51.00","SN Ia","","NGC 2258        ","","","","","","","","","0","1","","15.7","","1997-01-14 00:00:00.000","","[Discoverer=Kushida; DiscoveryRef=IAUC 6538; PositionRef=IAUC 6538; Orig Type=Ia   ]","","",""
"1162","SN 1997A","04:31:33.389","-61:07:10.42","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.5","","1997-01-03 00:00:00.000","","[Discoverer=Maza et al.; DiscoveryRef=IAUC 6531; PositionRef=IAUC 6531; Orig Type=Ia   ]","","",""
"1134","SN 1996cn","13:48:27.221","+02:27:46.58","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.6","","1996-03-18 00:00:00.000","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6621; PositionRef=IAUC 6621; Orig Type=Ia   ]","","",""
"1133","SN 1996cm","15:30:11.251","+05:55:27.01","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.7","","1996-03-18 00:00:00.000","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6621; PositionRef=IAUC 6621; Orig Type=Ia   ]","","",""
