"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"124409","SN 2023bhn","13:48:07.701","+46:06:38.32","SN Ia","0.06546","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF20acwetyh","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.62","r-ZTF","2023-02-02 08:26:52.800","ZTF_Bot1","","2023TNSTR.285....1F","2023TNSCR.323....1F",""
"124408","SN 2023bhm","04:42:54.998","+00:37:06.32","SN Ia-91bg-like","0.015419","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","SCAT","ATLAS; Pan-STARRS; ZTF","ZTF21abyguqw","ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS1 - GPC1","UH88 - SNIFS","1","1","","18.11","g-ZTF","2023-02-02 03:18:43.200","ZTF_Bot1","","2023TNSTR.285....1F","2023TNSCR.299....1H",""
"124405","SN 2023bhj","07:41:19.075","+72:50:39.57","SN Ia","0.075","","","ZTF","ZTF","ZTF","ZTF","ZTF23aabtarg","P48 - ZTF-Cam","P60 - SEDM","1","1","","18.69","r-ZTF","2023-02-04 05:19:40.800","ZTF_Bot1","","2023TNSTR.285....1F","2023TNSCR.312....1F",""
"124399","SN 2023bhd","16:19:30.019","+18:28:45.87","SN Ia","0.045387","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF23aabutwh","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","17.98","r-ZTF","2023-02-04 12:50:24.000","ZTF_Bot1","","2023TNSTR.285....1F","2023TNSCR.389....1F",""
"124398","SN 2023bhc","12:36:42.410","+66:02:29.00","SN Ia","0.090725","","","ZTF, GaiaAlerts, ATLAS","ZTF, GaiaAlerts, ATLAS","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF23aabtrno","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.16","g-ZTF","2023-02-04 07:20:38.400","ZTF_Bot1","","2023TNSTR.285....1F","2023TNSCR.354....1J",""
"124397","SN 2023bhb","12:14:43.414","+19:10:05.21","SN Ia","0.028135","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF23aabtfho","ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","18.15","g-ZTF","2023-02-04 08:25:26.400","ZTF_Bot1","","2023TNSTR.285....1F","2023TNSCR.302....1M",""
"124395","SN 2023bgz","09:58:33.342","-24:51:25.51","SN Ia","0.074","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF23aabtjoj","ATLAS-STH - ATLAS-03, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.62","g-ZTF","2023-02-04 08:02:24.000","ZTF_Bot1","","2023TNSTR.285....1F","2023TNSCR.408....1F",""
"124393","SN 2023bgx","11:46:28.637","+05:43:23.79","SN Ia","0.073","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF23aabtjdm","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.75","g-ZTF","2023-02-04 07:49:26.400","ZTF_Bot1","","2023TNSTR.285....1F","2023TNSCR.389....1F",""
"124362","SN 2023bgb","13:11:57.360","-58:32:16.00","SN Ia","0.025","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS23bqz","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","18.177","orange-ATLAS","2023-02-03 00:13:58.080","ATLAS_Bot1","","2023TNSTR.274....1T","2023TNSCR.321....1P",""
"124361","SN 2023bga","02:51:10.725","+45:09:16.67","SN Ia","0.039","","","ZTF","ZTF","ZTF","ZTF","ZTF23aabmevr","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.87","g-ZTF","2023-01-28 04:19:12.000","ZTF_Bot1","","2023TNSTR.276....1F","2023TNSCR.286....1F",""
"124360","SN 2023bfz","01:55:21.100","+46:33:21.10","SN Ia","0.021908","","","ZTF, GaiaAlerts","ZTF, GaiaAlerts","ZTF","GaiaAlerts; ZTF","ZTF23aabsice","Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","17.72","g-ZTF","2023-02-03 03:44:38.400","ZTF_Bot1","","2023TNSTR.276....1F","2023TNSCR.286....1F",""
"124356","SN 2023bfv","14:54:56.081","+29:50:04.38","SN Ia","0.086","SDSS J145456.10+295004.5","","ALeRCE, Fink, ATLAS","ZTF, ATLAS","ZTF","ALeRCE; ATLAS; Fink","ZTF18aaiwzie","ATLAS-CHL - ATLAS-04, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.1417","g-ZTF","2023-01-27 10:55:13.996","ALeRCE","","2023TNSTR.262....1F","2023TNSCR.402....1F",""
"124351","SN 2023bfq","10:04:05.283","+27:18:53.34","SN Ia","0.054","SDSS J100405.11+271857.6","0.05203264","ALeRCE, ATLAS","ZTF, ATLAS","ZTF","ALeRCE; ATLAS","ZTF23aabrtmn","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.3463","g-ZTF","2023-02-02 11:36:07.998","ALeRCE","","2023TNSTR.262....1F","2023TNSCR.332....1F",""
"124335","SN 2023bfa","12:52:27.402","+78:57:53.44","SN Ia","0.032","2MFGC 10151","","XOSS, ALeRCE, ATLAS","XOSS, ZTF, ATLAS","None","ALeRCE; ATLAS; XOSS","XM95MZ","ATLAS-HKO - ATLAS-02, Other - Other, P48 - ZTF-Cam","Other - Other","1","1","","18","Clear-","2023-02-02 17:30:33.120","Zhang","","2023TNSTR.267....1Z","2023TNSCR.345....1B",""
"124330","SN 2023bev","14:51:42.530","+08:34:09.91","SN Ia","0.065","","","ZTF, ATLAS, Fink, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF","ATLAS; Fink; GaiaAlerts; Pan-STARRS; ZTF","ZTF23aabrsdd","ATLAS-CHL - ATLAS-04, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.21","r-ZTF","2023-02-02 11:06:43.200","ZTF_Bot1","","2023TNSTR.268....1F","2023TNSCR.332....1F",""
"124327","SN 2023bes","16:16:55.375","+10:33:41.06","SN Ia","0.050032","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF23aabrsiv","ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.96","r-ZTF","2023-01-27 12:37:26.400","ZTF_Bot1","","2023TNSTR.268....1F","2023TNSCR.273....1M",""
"124326","SN 2023ber","14:23:28.310","+24:53:52.05","SN Ia","0.1","","","ZTF, SGLF, ATLAS","ZTF, SGLF, ATLAS","ePESSTO+","ATLAS; SGLF; ZTF","ZTF23aabkubg","ATLAS-CHL - ATLAS-04, LCO1m - Sinistro, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","20.22","g-ZTF","2023-01-27 10:59:31.200","ZTF_Bot1","","2023TNSTR.268....1F","2023TNSCR.374....1C",""
"124321","SN 2023bem","13:10:50.544","-12:27:29.02","SN Ia","0.046","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS23bqo","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","18.782","orange-ATLAS","2023-02-02 00:22:34.752","ATLAS_Bot1","","2023TNSTR.263....1T","2023TNSCR.382....1R",""
"124315","SN 2023beg","15:08:25.840","-40:04:25.75","SN Ia","0.05","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","ePESSTO+","ATLAS; GaiaAlerts","ATLAS23bqk","ATLAS-CHL - ATLAS-04, Gaia - Gaia-photometric","ESO-NTT - EFOSC2-NTT","1","1","","18.622","orange-ATLAS","2023-02-01 08:15:37.152","ATLAS_Bot1","","2023TNSTR.255....1T","2023TNSCR.321....1P",""
"124313","SN 2023bee","08:56:11.620","-03:19:32.05","SN Ia","0.006698","NGC2708","","DLT40, ATLAS, ZTF, YSE, Fink, GaiaAlerts","DLT40, ATLAS, ZTF, Pan-STARRS, GaiaAlerts","LiONS, Global SN Project","ATLAS; DLT40; Fink; GaiaAlerts; Pan-STARRS; YSE; ZTF","DLT23b","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, Gaia - Gaia-photometric, Other - Other, P48 - ZTF-Cam, PS1 - GPC1","FTS - FLOYDS-S, Lijiang-2.4m - YFOSC","1","1","","17.2621","Clear-","2023-02-01 17:59:54.816","DLT40_bot1","","2023TNSTR.256....1A","2023TNSCR.260....1Z, 2023TNSCR.277....1H",""
"124307","SN 2023bdy","12:57:18.340","+48:16:09.95","SN Ia","0.065113","","","GaiaAlerts, ZTF","GaiaAlerts, ZTF","ZTF","GaiaAlerts; ZTF","Gaia23amy","Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.03","G-Gaia","2023-01-31 05:16:48.000","Gaia_Bot1","","2023TNSTR.257....1H","2023TNSCR.389....1F",""
"124263","SN 2023bch","14:54:16.639","+42:33:29.05","SN Ia","0.017912","NGC 5784","0.018","ASAS-SN","ASAS-SN","None","ASAS-SN","ASASSN-23am","ASASSN-1 - Brutus, ASASSN-4 - Leavitt","Other - Other","1","1","","15.4","","2023-01-30 09:07:12.000","Stanek","","2023TNSTR.248....1S","2023TNSCR.261....1B",""
