"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"121938","SN 2022adcf","10:24:52.282","+09:35:36.62","SN Ia","0.045951","SDSS J102452.54+093540.9","0.04595067","ALeRCE, ATLAS, Fink, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ALeRCE; ATLAS; Fink; Pan-STARRS","ZTF22abzadkd","ATLAS-CHL - ATLAS-04, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","17.9557","g-ZTF","2022-12-17 11:39:50.996","ALeRCE","","2022TNSTR3598....1F","2022TNSCR3622....1F",""
"121935","SN 2022adcc","12:05:58.872","+38:05:28.80","SN Ia","0.06","SDSS J120559.29+380527.8","0.05271611","ALeRCE","ZTF","ZTF","ALeRCE","ZTF22abzaiuz","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.1454","r-ZTF","2022-12-17 12:20:20.003","ALeRCE","","2022TNSTR3598....1F","2022TNSCR3648....1F",""
"121931","SN 2022adby","03:39:11.239","-18:21:52.17","SN Ia","0.0917","","","YSE, ATLAS","Pan-STARRS, ATLAS","UCSC","ATLAS; Pan-STARRS; YSE","PS22mrz","ATLAS-CHL - ATLAS-04, PS2 - GPC2","Lick-3m - KAST","1","1","","20.57","g-P1","2022-12-15 07:43:34.752","YSE_Bot1","","2022TNSTR3603....1J","2022TNSCR3633....1T",""
"121930","SN 2022adbx","11:22:33.595","+20:42:00.01","SN Ia","0.014571","SDSS J112235.39+204214.1","0.01457149","ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ALeRCE; ATLAS; Pan-STARRS","ZTF22abzaijw","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","17.2757","r-ZTF","2022-12-17 12:12:19.999","ALeRCE","","2022TNSTR3598....1F","2022TNSCR3614....1S",""
"121921","SN 2022adbo","11:22:49.129","-24:54:30.42","SN Ia","0.09","","","ATLAS, ALeRCE, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","SCAT","ALeRCE; ATLAS; Pan-STARRS","ATLAS22bnvk","ATLAS-CHL - ATLAS-04, P48 - ZTF-Cam, PS2 - GPC2","UH88 - SNIFS","1","1","","18.726","orange-ATLAS","2022-12-17 07:37:45.696","ATLAS_Bot1","","2022TNSTR3599....1T","2022TNSCR3678....1D",""
"121918","SN 2022adbl","07:57:29.246","+62:25:39.25","SN Ia","0.0386","","","Pan-STARRS","Pan-STARRS","ZTF","Pan-STARRS","PS22mrx","PS2 - GPC2","P60 - SEDM","1","1","","19.75","w-P1","2022-12-15 12:39:10.080","PS1_Bot1","","2022TNSTR3602....1C","2022TNSCR3634....1F",""
"121908","SN 2022adbb","09:43:59.196","+42:38:00.57","SN Ia","0.0184","","","ZTF, ATLAS","ZTF, ATLAS","UCSC","ATLAS; ZTF","ZTF22abyszwg","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","Lick-3m - KAST","1","1","","17.6933","g-ZTF","2022-12-17 10:46:28.416","ZTF_CLU_PUBLIC","","2022TNSTR3604....1D","2022TNSCR3633....1T",""
"121890","SN 2022adaj","00:21:54.524","-29:55:48.68","SN Ia","0.16","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS22bnva","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","19.296","cyan-ATLAS","2022-12-16 01:42:35.000","ATLAS_Bot1","","2022TNSTR3595....1T","2022TNSCR3690....1G",""
"121870","SN 2022aczp","12:47:48.860","-15:19:59.66","SN Ia","0.043","2MASX J12474857-1519568","0.04326","ALeRCE, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF","ALeRCE; ATLAS; GaiaAlerts; Pan-STARRS","ZTF22abyuxeg","ATLAS-STH - ATLAS-03, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","17.8187","r-ZTF","2022-12-15 12:03:10.996","ALeRCE","","2022TNSTR3584....1M","2022TNSCR3622....1F",""
"121865","SN 2022aczk","15:16:43.567","+14:50:35.00","SN Ia","0.036276001483202","SDSS J151643.82+145037.1","0.03622479","ALeRCE, ATLAS","ZTF, ATLAS","ZTF","ALeRCE; ATLAS","ZTF22abyvbfc","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","17.4816","r-ZTF","2022-12-15 13:11:26.002","ALeRCE","","2022TNSTR3584....1M","2022TNSCR3634....1F",""
