"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"100648","SN 2022ccr","08:52:27.185","+40:19:26.81","SN Ia","0.096","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF22aaafkpf","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","19.68","g-ZTF","2022-02-12 06:23:02.400","ZTF_Bot1","","2022TNSTR.371....1F","2022TNSCR.468....1S",""
"100642","SN 2022ccl","13:32:06.855","+31:33:46.62","SN Ia","0.06","","","ZTF, YSE, ATLAS","ZTF, Pan-STARRS, ATLAS","YSE","ATLAS; Pan-STARRS; YSE; ZTF","ZTF22aaafedw","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","NOT - ALFOSC","1","1","","17.77","g-ZTF","2022-02-12 12:04:19.200","ZTF_Bot1","","2022TNSTR.371....1F","2022TNSCR.477....1A",""
"100636","SN 2022ccg","02:52:29.130","+11:06:14.65","SN Ia","0.07","","","ZTF, ATLAS, GaiaAlerts, Pan-STARRS, Fink","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","Global SN Project","ATLAS; Fink; GaiaAlerts; Pan-STARRS; ZTF","ZTF22aaagrex","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS2 - GPC2","FTN - FLOYDS-N","1","1","","19.51","g-ZTF","2022-02-12 03:11:31.200","ZTF_Bot1","","2022TNSTR.371....1F","2022TNSCR.542....1P",""
"100629","SN 2022cbz","11:14:37.576","-07:44:40.21","SN Ia","0.075","","","ZTF, ATLAS, Fink","ZTF, ATLAS","ePESSTO+","ATLAS; Fink; ZTF","ZTF22aaaivxh","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.47","g-ZTF","2022-02-12 09:05:45.600","ZTF_Bot1","","2022TNSTR.371....1F","2022TNSCR.474....1K",""
"100626","SN 2022cbw","03:45:04.449","-53:23:43.72","SN Ia","0.039","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS22fvl","ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","17.514","orange-ATLAS","2022-02-11 20:43:29.856","ATLAS_Bot1","","2022TNSTR.366....1T","2022TNSCR.583....1S",""
"100611","SN 2022cbh","10:32:08.868","+54:14:26.06","SN Ia","0.069138","","","ZTF, Pan-STARRS, ALeRCE","ZTF, Pan-STARRS","ZTF","ALeRCE; Pan-STARRS; ZTF","ZTF22aaafnry","P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","18.31","r-ZTF","2022-02-12 08:58:33.600","ZTF_Bot1","","2022TNSTR.371....1F","2022TNSCR.405....1C",""
"100604","SN 2022cba","14:12:14.340","+18:38:42.68","SN Ia","0.05595","","","GaiaAlerts, ZTF","GaiaAlerts, ZTF","ZTF","GaiaAlerts; ZTF","Gaia22aog","Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.43","G-Gaia","2022-02-10 04:46:33.600","Gaia_Bot1","","2022TNSTR.367....1H","2022TNSCR.406....1S",""
"100594","SN 2022car","01:51:02.220","+18:22:31.12","SN Ia","0.061","","","ZTF, GaiaAlerts","ZTF, GaiaAlerts","ZTF","GaiaAlerts; ZTF","ZTF22aaagscm","Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.56","g-ZTF","2022-02-12 03:18:43.200","ZTF_Bot1","","2022TNSTR.371....1F","2022TNSCR.443....1S",""
"100530","SN 2022byj","13:11:06.128","-08:12:00.90","SN Ia","0.1","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ePESSTO+","ATLAS; Pan-STARRS; ZTF","ZTF22aaafbrd","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","19.41","r-ZTF","2022-02-11 10:32:09.600","ZTF_Bot1","","2022TNSTR.360....1F","2022TNSCR.500....1K",""
"100511","SN 2022bxu","08:36:09.282","+10:10:48.82","SN Ia","0.081","","","ATLAS, ZTF, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ATLAS22fqe","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","18.883","orange-ATLAS","2022-02-10 08:35:09.600","ATLAS_Bot1","","2022TNSTR.357....1T","2022TNSCR.603....1S",""
"100504","SN 2022bxn","07:03:57.859","+33:01:34.55","SN Ia","0.04","","","Pan-STARRS, ZTF","Pan-STARRS, ZTF","ZTF","Pan-STARRS; ZTF","PS22bba","P48 - ZTF-Cam, PS2 - GPC2","LT - SPRAT","1","1","","20.19","w-P1","2022-02-08 05:29:30.048","PS2_Bot1","","2022TNSTR.350....1C","2022TNSCR.423....1P",""
"100498","SN 2022bxh","09:18:25.305","-18:53:37.36","SN Ia","0.05","","","ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","ePESSTO+","ATLAS; Pan-STARRS","ATLAS22fpt","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","18.689","orange-ATLAS","2022-02-10 11:01:39.936","ATLAS_Bot1","","2022TNSTR.347....1T","2022TNSCR.541....1F",""
"100435","SN 2022buw","08:16:17.063","-00:51:35.10","SN Ia","0.085","","","Pan-STARRS, ZTF, ATLAS","Pan-STARRS, ZTF, ATLAS","ePESSTO+","ATLAS; Pan-STARRS; ZTF","PS22axs","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","20","w-P1","2022-02-09 06:50:12.768","PS2_Bot1","","2022TNSTR.350....1C","2022TNSCR.474....1K",""
"100403","SN 2022btq","16:53:27.900","+33:03:52.38","SN Ia","0.05","WISEA J165328.05+330353.2","","ASAS-SN, ATLAS, Pan-STARRS, GaiaAlerts","ASAS-SN, ATLAS, Pan-STARRS, GaiaAlerts","SCAT","ASAS-SN; ATLAS; GaiaAlerts; Pan-STARRS","ASASSN-22bu","ASASSN-1 - Brutus, ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, PS2 - GPC2","UH88 - SNIFS","1","1","","17.5","g-Sloan","2022-02-09 13:40:47.000","Stanek","","2022TNSTR.346....1S","2022TNSCR.374....1T",""
"100376","SN 2022bsp","14:36:22.351","+34:57:47.66","SN Ia","0.0301","","","ATLAS, ZTF, Pan-STARRS, YSE","ATLAS, ZTF, Pan-STARRS","SCAT","ATLAS; Pan-STARRS; YSE; ZTF","ATLAS22fmi","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","UH88 - SNIFS","1","1","","19.353","orange-ATLAS","2022-02-09 14:18:35.136","ATLAS_Bot1","","2022TNSTR.335....1T","2022TNSCR.374....1T",""
"100369","SN 2022bsi","15:14:27.649","+50:19:01.30","SN Ia-91bg-like","0.0369","NGC 5902","0.0369","SNHunt, ZTF","CRTS, ZTF","ZTF","CRTS; SNHunt; ZTF","","Other - Other, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.5","V-crts-CRTS","2022-02-09 12:11:47.000","Drake","","2022TNSTR.339....1R","2022TNSCR.553....1F",""
"100363","SN 2022bsc","13:50:52.089","+08:46:58.45","SN Ia","0.06","","","Pan-STARRS, ATLAS, ZTF, Fink","Pan-STARRS, ATLAS, ZTF","ePESSTO+","ATLAS; Fink; Pan-STARRS; ZTF","PS22aug","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","19.93","w-P1","2022-02-08 12:59:21.408","PS2_Bot1","","2022TNSTR.338....1C","2022TNSCR.500....1K",""
"100333","SN 2022bqy","15:25:40.983","-16:52:01.55","SN Ia","0.03","","","ATLAS, ZTF, ALeRCE, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","SCAT, ZTF","ALeRCE; ATLAS; Pan-STARRS; ZTF","ATLAS22fft","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","LT - SPRAT, UH88 - SNIFS","1","1","","18.309","orange-ATLAS","2022-02-08 15:11:45.024","ATLAS_Bot1","","2022TNSTR.322....1T","2022TNSCR.374....1T, 2022TNSCR.389....1H",""
