"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"6216","SN 2013cy","22:10:34.210","-22:39:47.99","SN Ia","","ESO 532-25      ","","","","","","","","","0","1","","16.8","","2013-05-31 00:00:00.000","","[Discoverer=Monard; DiscoveryRef=CBET 3546; PositionRef=CBET 3546; Orig Type=Ia]","","",""
"6215","SN 2013cx","17:04:16.049","+41:30:37.58","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.7","","2013-05-21 00:00:00.000","","[Discoverer=Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3545; PositionRef=CBET 3545; Orig Type=Ia]","","",""
"6214","SN 2013cw","16:41:27.170","+57:47:04.99","SN Ia","0.0176","NGC 6211        ","","","","DAO_OTS","","","","Plaskett - Plaskett","0","1","","16.9","","2013-05-29 00:00:00.000","","[Discoverer=Cox, Newton, Puckett; DiscoveryRef=CBET 3544; PositionRef=CBET 3544; Orig Type=Ia]","","2016TNSCR..34....1B",""
"6213","SN 2013cv","16:22:43.159","+18:57:35.60","SN Ia-pec","","Anon.           ","","","","","","","","","0","1","","16.5","","2013-05-20 00:00:00.000","","[Discoverer=Zhou, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3543; PositionRef=CBET 3543; Orig Type=Ia-p]","","",""
"6211","SN 2013ct","01:12:54.919","+00:58:45.70","SN Ia","","NGC 428         ","","","","","","","","","0","1","","12.2","","2013-05-10 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 3539; PositionRef=CBET 3539; Orig Type=Ia]","","",""
"6210","SN 2013cs","13:15:14.810","-17:57:55.58","SN Ia","","ESO 576-17      ","","","","","","","","","0","1","","14.7","","2013-05-14 00:00:00.000","","[Discoverer=Howerton, McNaught, Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3533; PositionRef=CBET 3533; Orig Type=Ia]","","",""
"6207","SN 2013cp","16:19:52.219","+38:56:07.91","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.5","","2013-05-07 00:00:00.000","","[Discoverer=Zhang, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3528; PositionRef=CBET 3528; Orig Type=Ia]","","",""
"6204","SN 2013cm","17:20:01.939","+23:44:51.29","SN Ia-pec","","Anon.           ","","","","","","","","","0","1","","18.3","","2013-05-10 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3525; PositionRef=CBET 3525; Orig Type=Ia-p]","","",""
"6203","SN 2013cl","16:19:31.589","+24:47:11.29","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.9","","2013-05-03 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3524; PositionRef=CBET 3524; Orig Type=Ia]","","",""
"6202","SN 2013ck","15:24:29.071","+48:32:54.60","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.5","","2013-05-08 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3523; PositionRef=CBET 3523; Orig Type=Ia]","","",""
"6200","SN 2013ci","17:04:53.681","+09:07:59.59","SN Ia","0.036","Anon.           ","","","","DAO_OTS","","","","Plaskett - Plaskett","0","1","","17.1","","2013-05-04 00:00:00.000","","[Discoverer=Hurtado, Vida et al. (La Sagra Sky Survey); DiscoveryRef=CBET 3519; PositionRef=CBET 3519; Orig Type=Ia]","","2016TNSCR..29....1B",""
"6198","SN 2013cg","09:26:56.770","-24:46:59.59","SN Ia","","NGC 2891        ","","","","","","","","","0","1","","13.3","","2013-05-06 00:00:00.000","","[Discoverer=Pignata et al. (CHASE); DiscoveryRef=CBET 3517; PositionRef=CBET 3517; Orig Type=Ia]","","",""
"6195","SN 2013cd","08:16:49.001","+60:29:28.50","SN Ia","","UGC 4294        ","","","","","","","","","0","1","","17","","2013-04-28 00:00:00.000","","[Discoverer=Rich et al.; DiscoveryRef=CBET 3514; PositionRef=CBET 3514; Orig Type=Ia?]","","",""
"6193","SN 2013cb","11:35:01.740","+16:07:16.79","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.1","","2013-05-01 00:00:00.000","","[Discoverer=Zhang, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3509; PositionRef=CBET 3509; Orig Type=Ia]","","",""
"6190","SN 2013bz","13:26:51.319","-10:01:32.20","SN Ia","","Anon.           ","","","","","","","","","0","1","","15.7","","2013-04-21 00:00:00.000","","[Discoverer=Howerton, Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3507; PositionRef=CBET 3507; Orig Type=Ia]","","",""
"6188","SN 2013bx","12:47:24.221","+32:32:49.99","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.8","","2013-04-09 00:00:00.000","","[Discoverer=Zhou, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3501; PositionRef=CBET 3501; Orig Type=Ia]","","",""
"6185","SN 2013bt","14:21:15.130","+61:34:15.89","SN Ia","","Anon.           ","","","","","","","","","0","1","","18","","2013-04-18 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3497; PositionRef=CBET 3497; Orig Type=Ia]","","",""
"6184","SN 2013bs","17:17:22.030","+41:04:00.19","SN Ia","","NGC 6343        ","","","","","","","","","0","1","","17","","2013-04-18 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3494; PositionRef=CBET 3494; Orig Type=Ia]","","",""
"6182","SN 2013bq","13:04:08.450","+43:54:07.70","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.3","","2013-04-15 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3492; PositionRef=CBET 3492; Orig Type=Ia]","","",""
"6181","SN 2013bp","12:19:04.879","+42:24:53.89","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.6","","2013-04-15 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3491; PositionRef=CBET 3491; Orig Type=Ia]","","",""
"6180","SN 2013bo","13:17:29.189","+42:44:29.62","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.6","","2013-04-15 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3490; PositionRef=CBET 3490; Orig Type=Ia]","","",""
"6173","SN 2013bh","15:02:13.090","+10:38:45.60","SN Ia-pec","","Anon.           ","","","","","","","","","0","1","","18.5","","2013-04-03 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3480; PositionRef=CBET 3480; Orig Type=Ia-p]","","",""
"6172","SN 2013bg","10:20:42.871","-06:26:56.80","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.1","","2013-04-04 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3479; PositionRef=CBET 3479; Orig Type=Ia]","","",""
"6171","SN 2013bf","08:58:36.070","+54:19:25.72","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.8","","2013-03-28 00:00:00.000","","[Discoverer=Zhang, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3471; PositionRef=CBET 3471; Orig Type=Ia]","","",""
"6170","SN 2013be","12:36:27.670","+11:45:28.12","SN Ia","","IC 3573         ","","","","","","","","","0","1","","19.6","","2013-04-05 00:00:00.000","","[Discoverer=Zhang, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3470; PositionRef=CBET 3470; Orig Type=Ia]","","",""
"6168","SN 2013bc","13:10:21.310","-07:10:24.10","SN Ia","","IC 4209         ","","","","","","","","","0","1","","18.1","","2013-03-31 00:00:00.000","","[Discoverer=Howerton, Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3468; PositionRef=CBET 3468; Orig Type=Ia]","","",""
"6166","SN 2013ba","13:52:56.630","+21:56:21.70","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.9","","2013-04-04 00:00:00.000","","[Discoverer=Matsumoto, Tominaga, Tanaka et al. (Kiso Supernova Survey); DiscoveryRef=CBET 3465; PositionRef=CBET 3465; Orig Type=Ia]","","",""
"6164","SN 2013az","05:39:52.130","-40:30:28.12","SN Ia","","ESO 306-16      ","","","","","","","","","0","1","","17.1","","2013-03-24 00:00:00.000","","[Discoverer=Howerton, Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3457; PositionRef=CBET 3457; Orig Type=Ia]","","",""
"6163","SN 2013ay","18:42:37.860","-64:56:13.49","SN Ia","","IC 4745         ","","","","","","","","","0","1","","15.1","","2013-03-26 00:00:00.000","","[Discoverer=Hamuy, Pignata et al. (CHASE); DiscoveryRef=CBET 3456; PositionRef=CBET 3456; Orig Type=Ia]","","",""
"6162","SN 2013ax","07:20:03.509","+55:55:48.40","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.4","","2013-03-07 00:00:00.000","","[Discoverer=Zhou, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3455; PositionRef=CBET 3455; Orig Type=Ia]","","",""
"6160","SN 2013av","12:19:32.650","+38:02:25.91","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.7","","2013-03-01 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3452; PositionRef=CBET 3452; Orig Type=Ia]","","",""
"6159","SN 2013au","12:21:14.160","+47:29:52.40","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.7","","2013-03-23 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3451; PositionRef=CBET 3451; Orig Type=Ia]","","",""
"6157","SN 2013as","11:52:52.339","-18:59:19.90","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.1","","2013-03-15 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3447; PositionRef=CBET 3447; Orig Type=Ia]","","",""
"6156","SN 2013ar","08:37:45.019","+49:28:32.20","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.9","","2013-03-14 00:00:00.000","","[Discoverer=Zhang, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3446; PositionRef=CBET 3446; Orig Type=Ia]","","",""
"6154","SN 2013ap","12:58:24.919","+12:35:53.30","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.5","","2013-02-18 00:00:00.000","","[Discoverer=Zhou, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3443; PositionRef=CBET 3443; Orig Type=Ia]","","",""
"6153","SN 2013ao","11:44:44.741","-20:31:41.09","SN Ia","","Anon.           ","","","","","","","","","0","1","","17","","2013-03-04 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3442; PositionRef=CBET 3442; Orig Type=Ia]","","",""
"6150","SN 2013al","11:14:54.070","+29:35:06.00","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.2","","2013-03-03 00:00:00.000","","[Discoverer=Tanaka et al. (Kiso Supernova Survey); DiscoveryRef=CBET 3438; PositionRef=CBET 3438; Orig Type=Ia]","","",""
"6148","SN 2013aj","13:54:00.679","-07:55:43.79","SN Ia","","NGC 5339        ","","","","","","","","","0","1","","14.7","","2013-03-03 00:00:00.000","","[Discoverer=Cortini; DiscoveryRef=CBET 3434; PositionRef=CBET 3434; Orig Type=Ia]","","",""
"6146","SN 2013ah","09:44:33.799","+55:45:44.39","SN Ia","","UGC 5201        ","","","","","","","","","0","1","","18.6","","2013-02-22 00:00:00.000","","[Discoverer=Zhou, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3430; PositionRef=CBET 3430; Orig Type=Ia]","","",""
"6145","SN 2013ag","12:51:35.021","+26:37:45.41","SN Ia","","Anon.           ","","","","","","","","","0","1","","16","","2013-03-03 00:00:00.000","","[Discoverer=Dhungana et al. (ROTSE); DiscoveryRef=CBET 3428; PositionRef=CBET 3428; Orig Type=Ia]","","",""
