"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"72674","SN 2020acei","09:44:05.629","-18:11:31.53","SN Ia","0.082","WISEA J094405.60-181129.6","","ALeRCE, ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","adH0cc","ATLAS; Pan-STARRS; ZTF","ZTF20acwpfvq","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","VLT-UT1 - FORS2","1","1","","19.5851","g-ZTF","2020-12-10 11:02:18.997","ALeRCE","","2020TNSTR3732....1M","2020TNSCR3810....1T",""
"72672","SN 2020aceg","11:02:08.230","+58:39:27.29","SN Ia","0.06","GALEXASC J110207.76+583928.7","","ALeRCE, ZTF, ATLAS, Fink, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF20acwozwz","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.3087","g-ZTF","2020-12-10 10:37:18.998","ALeRCE","","2020TNSTR3732....1M","",""
"72671","SN 2020acef","09:44:23.972","+22:58:44.87","SN Ia-91T-like","0.065","SDSS J094424.00+225843.7","0.114","ALeRCE, ATLAS, ZTF, Pan-STARRS, Fink","ZTF, ATLAS, Pan-STARRS","ePESSTO+","ATLAS; Pan-STARRS; ZTF","ZTF20acwnrty","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","19.7194","g-ZTF","2020-12-10 10:07:39.003","ALeRCE","","2020TNSTR3732....1M","2020TNSCR3811....1P",""
"72669","SN 2020aced","08:31:13.482","+18:43:09.19","SN Ia","0.067","","","ALeRCE, ZTF, Fink, Pan-STARRS","ZTF, Pan-STARRS","ZTF","Pan-STARRS; ZTF","ZTF20acwoamm","P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P60 - SEDM","1","1","","18.3715","g-ZTF","2020-12-10 10:05:36.997","ALeRCE","","2020TNSTR3732....1M","2020TNSCR3859....1D",""
"72662","SN 2020acdw","07:02:44.939","+26:30:03.39","SN Ia","0.07","WISEA J070244.97+263002.7","","ALeRCE, ATLAS, ZTF, Fink","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF20acwkwqn","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.9712","r-ZTF","2020-12-10 07:23:32.004","ALeRCE","","2020TNSTR3732....1M","2020TNSCR3914....1D",""
"72661","SN 2020acdv","07:13:30.056","+23:37:33.48","SN Ia","0.06","WISEA J071330.00+233733.9","","ALeRCE, Fink, Pan-STARRS","ZTF, Pan-STARRS","ZTF","Pan-STARRS; ZTF","ZTF20acwkvgj","P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.9601","r-ZTF","2020-12-10 07:23:32.004","ALeRCE","","2020TNSTR3732....1M","2021TNSCR.135....1D",""
"72654","SN 2020acdo","08:11:38.597","-02:19:46.21","SN Ia","0.0518","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ePESSTO+","ATLAS; Pan-STARRS; ZTF","ZTF20acwmpsj","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","18.73","g-ZTF","2020-12-10 10:04:48.000","ZTF_Bot1","","2020TNSTR3738....1F","2020TNSCR3822....1P",""
"72651","SN 2020acdl","14:32:12.432","+00:13:25.81","SN Ia","0.035546","WISEA J143212.30+001323.2","0.035546","ALeRCE, ZTF, ATLAS, Pan-STARRS, DESIRT","ZTF, ATLAS, Pan-STARRS, DESIRT","ZTF","ATLAS; DESIRT; Pan-STARRS; ZTF","ZTF20acwfcfs","ATLAS-HKO - ATLAS-02, CTIO-4m - DECAM, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.1898","r-ZTF","2020-12-09 13:20:18.001","ALeRCE","","2020TNSTR3732....1M","2020TNSCR3859....1D",""
"72621","SN 2020acch","01:38:14.510","+36:36:34.45","SN Ia","0.017072","UGC 01161","0.017072","ALeRCE, ATLAS, ZTF, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","None, ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF20acvziuf","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","CMO-2.5m - TDS, P60 - SEDM","1","1","","18.2483","g-ZTF","2020-12-10 04:53:57.998","ALeRCE","","2020TNSTR3732....1M","2020TNSCR3742....1A, 2021TNSCR.512....1D",""
"72614","SN 2020acca","04:31:48.984","-20:18:56.80","SN Ia","0.102","","","ZTF, Pan-STARRS, ATLAS","ZTF, Pan-STARRS, ATLAS","REFITT","ATLAS; Pan-STARRS; ZTF","ZTF20acwijiy","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","SOAR - Goodman","1","1","","20.23","r-ZTF","2020-12-07 04:20:38.400","ZTF_Bot1","","2020TNSTR3738....1F","2020TNSCR3912....1W",""
