"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"31575","SN 2018jba","13:07:48.170","+14:01:41.45","SN Ia","0.07","","","ZTF, GaiaAlerts","ZTF, GaiaAlerts","ZTF","GaiaAlerts; ZTF","ZTF18acqsqry","Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.3208","r-ZTF","2018-11-20 12:10:08.000","ZTF_AMPEL_NEW","","2018TNSTR1827....1N","2018TNSCR2058....1F",""
"31574","SN 2018jaz","13:39:20.088","+34:41:19.71","SN Ia","0.023118","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF18acqpqph","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","16.1161","g-ZTF","2018-11-20 12:14:44.000","ZTF_AMPEL_NEW","","2018TNSTR1827....1N","2018TNSCR1877....1F",""
"31572","SN 2018jax","13:45:57.830","+28:47:45.17","SN Ia-91T-like","0.035","","","ZTF, GaiaAlerts, ATLAS","ZTF, GaiaAlerts, ATLAS","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF18acqpobb","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","16.2245","g-ZTF","2018-11-20 12:14:04.000","ZTF_AMPEL_NEW","","2018TNSTR1827....1N","2019TNSCR..89....1F",""
"31563","SN 2018jao","21:50:11.244","-03:41:32.32","SN Ia-91T-like","0.028","","","ATLAS, ZTF","ATLAS, ZTF","ePESSTO","ATLAS; ZTF","ATLAS18zmv","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","17.698","orange-ATLAS","2018-11-26 06:21:36.000","ATLAS_Bot1","","2018TNSTR1823....1T","2018TNSCR1868....1C",""
"31558","SN 2018jaj","10:29:52.354","+20:40:09.74","SN Ia","0.01918","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF18acrdlrp","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.42","r-ZTF","2018-11-25 11:34:04.000","ZTF_Bot1","","2018TNSTR1826....1F","2018TNSCR2040....1F",""
"31557","SN 2018jai","07:53:48.780","+02:25:07.86","SN Ia-pec","0.05","","","ZTF, GaiaAlerts","ZTF, GaiaAlerts","ZTF","GaiaAlerts; ZTF","ZTF18acrdciw","Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","17.97","r-ZTF","2018-11-20 08:47:02.000","ZTF_Bot1","","2018TNSTR1826....1F","2018TNSCR1886....1F",""
"31555","SN 2018jag","01:03:48.310","+10:35:32.38","SN Ia-91bg-like","0.04","MCG +02-03-030","0.03983","TNTS, ATLAS, ZTF, Pan-STARRS","TNTS, ATLAS, ZTF, Pan-STARRS","SCAT","ATLAS; Pan-STARRS; TNTS; ZTF","","ATLAS-MLO - ATLAS-01, BAO-0.6m - BATC, P48 - ZTF-Cam, PS1 - GPC1","UH88 - SNIFS","1","1","","17.88","Clear-","2018-11-25 10:35:32.000","Tan","","2018TNSTR1825....1T","2018TNSCR2052....1T",""
"31527","SN 2018ize","09:39:28.619","+26:55:56.76","SN Ia","0.0636","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF18acqxsyi","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.8999","r-ZTF","2018-11-18 12:10:34.000","ZTF_AMPEL_NEW","","2018TNSTR1821....1N","2018TNSCR1853....1F",""
"31526","SN 2018izd","07:02:54.635","+33:50:15.02","SN Ia","0.03","","","ZTF, Pan-STARRS, ATLAS","ZTF, Pan-STARRS, ATLAS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF18acqxcga","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","20.2791","r-ZTF","2018-11-21 08:44:57.000","ZTF_AMPEL_NEW","","2018TNSTR1821....1N","2018TNSCR1904....1F",""
"31525","SN 2018izc","09:29:21.948","+54:00:28.01","SN Ia","0.04184","","","ZTF","ZTF","ZTF","ZTF","ZTF18acqsfxh","P48 - ZTF-Cam","P60 - SEDM","1","1","","18.8239","r-ZTF","2018-11-21 10:43:45.000","ZTF_AMPEL_NEW","","2018TNSTR1821....1N","2018TNSCR2044....1F, 2020TNSCR1667....1D",""
"31520","SN 2018iyx","04:33:32.435","-01:38:51.41","SN Ia","0.09","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF18acptgzz","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","","1","1","","19.6909","g-ZTF","2018-11-19 08:32:15.000","ZTF_AMPEL_NEW","","2018TNSTR1821....1N","2018TNSCR1856....1F",""
"31519","SN 2018iyw","02:07:57.800","-06:05:36.31","SN Ia","0.065","","","ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF18acpscso","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.1496","g-ZTF","2018-11-19 06:10:31.000","ZTF_AMPEL_NEW","","2018TNSTR1821....1N","2018TNSCR1828....1F",""
"31493","SN 2018ixw","01:51:55.754","+14:51:05.72","SN Ia","0.084","","","ZTF, Pan-STARRS","ZTF, Pan-STARRS","ZTF","Pan-STARRS; ZTF","ZTF18achmxsx","P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.5541","r-ZTF","2018-11-12 06:24:35.000","ZTF_AMPEL_NEW","","2018TNSTR1821....1N","2018TNSCR1828....1F",""
