"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"123675","SN 2023agx","12:06:00.807","+22:41:39.44","SN Ia","0.078246","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF23aaapouh","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","19.96","r-ZTF","2023-01-21 10:13:26.400","ZTF_Bot1","","2023TNSTR.182....1F","2023TNSCR.376....1F",""
"123674","SN 2023agw","11:58:52.032","+01:43:45.55","SN Ia","0.07849","","","ZTF","ZTF","SCAT","ZTF","ZTF23aaaymmz","P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.85","g-ZTF","2023-01-24 09:56:09.600","ZTF_Bot1","","2023TNSTR.182....1F","2023TNSCR.196....1H",""
"123664","SN 2023agm","12:20:44.120","+47:39:47.99","SN Ia","0.063","","","ATLAS, ALeRCE, GaiaAlerts","ATLAS, ZTF, GaiaAlerts","ZTF","ALeRCE; ATLAS; GaiaAlerts","ATLAS23beq","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.677","orange-ATLAS","2023-01-23 15:13:33.888","ATLAS_Bot1","","2023TNSTR.178....1T","2023TNSCR.219....1F",""
"123627","SN 2023afd","16:34:29.794","+43:23:56.88","SN Ia","0.064","","","ZTF","ZTF","ZTF","ZTF","ZTF23aaawbmy","P48 - ZTF-Cam","P60 - SEDM","1","1","","18.62","r-ZTF","2023-01-23 10:22:04.800","ZTF_Bot1","","2023TNSTR.169....1F","2023TNSCR.232....1F",""
"123625","SN 2023afb","05:49:17.300","+60:40:08.04","SN Ia","0.047","MCG+10-09-003","0.04436","ALeRCE, GaiaAlerts","ZTF, GaiaAlerts","ZTF","ALeRCE; GaiaAlerts","ZTF23aaatixf","Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.2209","r-ZTF","2023-01-23 05:19:20.997","ALeRCE","","2023TNSTR.166....1M","2023TNSCR.198....1F",""
"123623","SN 2023aez","14:40:16.047","+10:23:51.30","SN Ia","0.04","SDSS J144016.12+102351.0","","ALeRCE, ATLAS, YSE, Fink","ZTF, ATLAS, Pan-STARRS","SCAT","ALeRCE; ATLAS; Fink; Pan-STARRS; YSE","ZTF23aaavsyk","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2","UH88 - SNIFS","1","1","","18.569","r-ZTF","2023-01-23 10:25:39.996","ALeRCE","","2023TNSTR.166....1M","2023TNSCR.196....1H",""
"123618","SN 2023aeu","16:47:59.390","+49:00:39.31","SN Ia","0.049","","","ZTF, GaiaAlerts","ZTF, GaiaAlerts","ZTF","GaiaAlerts; ZTF","ZTF23aaahuzf","Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","19","r-ZTF","2023-01-12 12:25:55.200","ZTF_Bot1","","2023TNSTR.169....1F","2023TNSCR.198....1F",""
"123617","SN 2023aet","15:09:06.839","+03:31:11.54","SN Ia","0.052","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF23aaawcyt","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.59","r-ZTF","2023-01-07 12:46:04.800","ZTF_Bot1","","2023TNSTR.169....1F","2023TNSCR.198....1F",""
"123606","SN 2023ael","17:14:41.460","+66:51:22.07","SN Ia","0.08","","","GaiaAlerts, ZTF","GaiaAlerts, ZTF","ZTF","GaiaAlerts; ZTF","Gaia23ajs","Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.57","G-Gaia","2023-01-21 23:02:24.000","Gaia_Bot1","","2023TNSTR.168....1H","2023TNSCR.354....1J",""
"123599","SN 2023aeg","14:44:12.438","+15:22:12.71","SN Ia","0.05063","","","ATLAS, ZTF","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS23bda","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.164","orange-ATLAS","2023-01-22 14:12:14.112","ATLAS_Bot1","","2023TNSTR.157....1T","2023TNSCR.313....1F",""
"123591","SN 2023ady","11:02:42.590","+58:22:40.33","SN Ia","0.052","2MASX J11024243+5822374","0.04876","ALeRCE, GaiaAlerts, ATLAS, Pan-STARRS","ZTF, GaiaAlerts, ATLAS, Pan-STARRS","ZTF","ALeRCE; ATLAS; GaiaAlerts; Pan-STARRS","ZTF23aaarwea","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.5655","r-ZTF","2023-01-22 08:47:01.000","ALeRCE","","2023TNSTR.156....1F","2023TNSCR.232....1F",""
