"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"87833","SN 2021sha","11:47:07.962","+22:12:59.59","SN Ia","0.061","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS21bano","ATLAS-MLO - ATLAS-01","UH88 - SNIFS","1","1","","18.845","orange-ATLAS","2021-07-06 06:18:43.200","ATLAS_Bot1","","2021TNSTR2335....1T","2021TNSCR2745....1T",""
"87832","SN 2021sgz","12:16:56.350","+23:57:31.14","SN Ia","0.006","","","ATLAS, GaiaAlerts, ZTF, Pan-STARRS","ATLAS, GaiaAlerts, ZTF, Pan-STARRS","Global SN Project","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ATLAS21bank","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS2 - GPC2","FTN - FLOYDS-N","1","1","","17.991","orange-ATLAS","2021-07-06 06:44:38.400","ATLAS_Bot1","","2021TNSTR2335....1T","2021TNSCR2381....1N",""
"87818","SN 2021sgl","15:54:40.732","-13:21:05.49","SN Ia-91T-like","0.08","","","Pan-STARRS, ZTF, ATLAS, AMPEL, Fink","Pan-STARRS, ZTF, ATLAS","ePESSTO+","AMPEL; ATLAS; Fink; Pan-STARRS; ZTF","PS21hkn","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","20.85","w-P1","2021-07-04 08:58:33.600","PS1_Bot1","","2021TNSTR2337....1C","2021TNSCR2619....1M",""
"87789","SN 2021sfj","13:49:19.384","-10:17:16.26","SN Ia","0.051","","","ZTF, ATLAS, AMPEL","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF21abjtncs","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.62","g-ZTF","2021-07-04 05:45:36.000","ZTF_Bot1","","2021TNSTR2339....1F","2021TNSCR2409....1S",""
"87787","SN 2021sfh","15:03:45.751","+76:47:18.13","SN Ia","0.06","","","ZTF, AMPEL, ATLAS, Fink, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","None, ZTF","ATLAS; Fink; Pan-STARRS; ZTF","ZTF21abjeyoh","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","Other - Other, P60 - SEDM","1","1","","20.3","g-ZTF","2021-07-04 06:51:50.400","ZTF_Bot1","","2021TNSTR2339....1F","2021TNSCR2407....1B, 2021TNSCR2475....1S",""
"87773","SN 2021set","16:35:44.641","+13:56:23.10","SN Ia","0.074","SDSS J163544.59+135624.2","","ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF21abjdiok","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","20.1699","r-ZTF","2021-07-05 05:27:26.004","ALeRCE","","2021TNSTR2318....1M","2021TNSCR2506....1S",""
"87772","SN 2021ses","17:22:41.617","+63:11:10.79","SN Ia","0.075","WISEA J172241.53+631111.2","0.080632","ALeRCE, AMPEL, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF21abjdqbo","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.5734","g-ZTF","2021-07-05 07:24:11.998","ALeRCE","","2021TNSTR2318....1M","2021TNSCR2421....1S",""
"87761","SN 2021seh","16:20:04.150","+05:02:54.20","SN Ia","0.088","","","ALeRCE, ATLAS, AMPEL, Pan-STARRS, GaiaAlerts","ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF21abjpphz","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","20.8069","g-ZTF","2021-07-02 06:57:18.996","ALeRCE","","2021TNSTR2318....1M","2021TNSCR2485....1S",""
"87759","SN 2021sef","16:58:47.096","+08:55:54.96","SN Ia","0.11","","","ALeRCE, ATLAS","ZTF, ATLAS","ePESSTO+","ATLAS; ZTF","ZTF21abjqhuj","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","20.7195","g-ZTF","2021-07-02 06:59:22.998","ALeRCE","","2021TNSTR2318....1M","2021TNSCR2668....1M",""
"87753","SN 2021sdz","20:43:42.104","+05:19:14.75","SN Ia","0.05","WISEA J204342.03+051913.7","","ALeRCE, AMPEL, Pan-STARRS, Fink","ZTF, Pan-STARRS","ZTF","Fink; Pan-STARRS; ZTF","ZTF21abjrptn","P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","LT - SPRAT","1","1","","20.4573","g-ZTF","2021-07-05 09:04:34.000","ALeRCE","","2021TNSTR2318....1M","2021TNSCR2484....1P",""
"87749","SN 2021sdv","22:39:40.607","-01:24:36.16","SN Ia","0.05747","SDSS J223940.61-012436.5","","ALeRCE, ATLAS, Pan-STARRS, Fink","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Fink; Pan-STARRS; ZTF","ZTF21abjrwhq","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.2645","g-ZTF","2021-07-05 09:35:38.996","ALeRCE","","2021TNSTR2318....1M","2021TNSCR2485....1S",""
"87724","SN 2021scx","17:21:49.660","+24:57:08.57","SN Ia","0.062","","","ZTF, GaiaAlerts","ZTF, GaiaAlerts","ZTF","GaiaAlerts; ZTF","ZTF21abisowq","Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.74","g-ZTF","2021-07-01 07:26:24.000","ZTF_Bot1","","2021TNSTR2326....1F","2021TNSCR2431....1S",""
"87714","SN 2021sco","21:40:11.651","-15:58:42.25","SN Ia","0.054","","","ZTF","ZTF","ZTF","ZTF","ZTF21abizmnw","P48 - ZTF-Cam","P60 - SEDM","1","1","","18.26","r-ZTF","2021-06-16 09:31:40.800","ZTF_Bot1","","2021TNSTR2326....1F","2021TNSCR2344....1S",""
"87710","SN 2021sck","20:04:49.537","-17:31:18.33","SN Ia","0.045","","","AMPEL, Pan-STARRS, Fink","ZTF, Pan-STARRS","ZTF","AMPEL; Pan-STARRS; ZTF","ZTF21abiyyob","P48 - ZTF-Cam, PS1 - GPC1","LT - SPRAT","1","1","","20.21","g-ZTF","2021-07-02 07:07:37.344","ZTF_AMPEL_NEW","","2021TNSTR2319....1N","2021TNSCR2529....1P",""
"87700","SN 2021scb","18:13:00.416","+21:02:27.83","SN Ia-pec","0.0842","","","ZTF","ZTF","ZTF","ZTF","ZTF21abibhpm","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.52","g-ZTF","2021-06-26 05:38:24.000","ZTF_Bot1","","2021TNSTR2315....1F","2021TNSCR2623....1C",""
"87694","SN 2021sbv","13:05:54.630","+02:08:28.80","SN Ia","0.069122","WISEA J130554.60+020828.3","0.069122","ALeRCE, ATLAS","ZTF, ATLAS","Global SN Project","ATLAS; ZTF","ZTF21abjbjba","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","FTN - FLOYDS-N","1","1","","19.912","r-ZTF","2021-07-04 04:29:41.001","ALeRCE","","2021TNSTR2306....1F","2021TNSCR2575....1G",""
"87693","SN 2021sbu","13:42:59.570","+45:24:33.70","SN Ia","0.032728","SDSS J134259.62+452432.4","0.03272799","ALeRCE, Fink, GaiaAlerts","ZTF, GaiaAlerts","ZTF","Fink; GaiaAlerts; ZTF","ZTF21abjbrrj","Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.5715","r-ZTF","2021-07-04 04:44:51.000","ALeRCE","","2021TNSTR2306....1F","2021TNSCR2534....1C",""
"87691","SN 2021sbs","15:45:58.600","+54:09:41.72","SN Ia","0.069","WISEA J154558.81+540946.3","0.066872","ALeRCE, AMPEL, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","AMPEL; ATLAS; GaiaAlerts; ZTF","ZTF21abjciip","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.1114","r-ZTF","2021-07-04 05:21:16.998","ALeRCE","","2021TNSTR2306....1F","2021TNSCR2475....1S",""
"87675","SN 2021sbc","21:11:05.276","+13:04:43.48","SN Ia","0.1","","","ALeRCE, YSE, ATLAS","ZTF, Pan-STARRS, ATLAS","UCSC","ATLAS; Pan-STARRS; ZTF","ZTF21abjhxqg","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","Lick-3m - KAST","1","1","","20.4276","r-ZTF","2021-07-01 09:26:10.000","ALeRCE","","2021TNSTR2306....1F","2021TNSCR2461....1T",""
"87618","SN 2021ryz","15:12:01.177","-03:13:20.13","SN Ia","0.021612","","","AMPEL, ATLAS, YSE, Pan-STARRS, Fink","ZTF, ATLAS, Pan-STARRS","UCSC, ZTF","ATLAS; Pan-STARRS; ZTF","ZTF21abjbnhh","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","Keck1 - LRIS, P60 - SEDM","1","1","","18.55","r-ZTF","2021-07-04 04:32:38.112","ZTF_AMPEL_NEW","","2021TNSTR2307....1N","2021TNSCR2341....1S, 2021TNSCR2547....1C",""
"87543","SN 2021rwc","12:59:05.438","+56:44:00.58","SN Ia","0.095","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS21bafv","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","UH88 - SNIFS","1","1","","19.24","orange-ATLAS","2021-06-27 06:40:19.200","ATLAS_Bot1","","2021TNSTR2296....1T","2021TNSCR2745....1T",""
"87463","SN 2021rta","16:01:22.654","-21:46:19.81","SN Ia","0.044","","","Pan-STARRS, ATLAS, ZTF, AMPEL","Pan-STARRS, ATLAS, ZTF","ZTF","AMPEL; ATLAS; Pan-STARRS; ZTF","PS21hbc","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.89","w-P1","2021-06-30 07:30:43.200","PS1_Bot1","","2021TNSTR2298....1C","2021TNSCR2331....1S",""
"87251","SN 2021rky","23:49:27.641","+14:27:43.49","SN Ia","0.058","WISEA J234927.68+142743.5","0.057476","ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","None","ATLAS; Pan-STARRS; ZTF","ZTF21abizpri","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","Lick-3m - KAST","1","1","","19.1343","r-ZTF","2021-07-02 09:37:58.999","ALeRCE","","2021TNSTR2277....1M","2021TNSCR2317....1H",""
"87248","SN 2021rkv","22:11:55.001","+17:34:08.22","SN Ia","0.091","WISEA J221155.06+173407.7","0.094703","ALeRCE, AMPEL, ATLAS","ZTF, ATLAS","ZTF","AMPEL; ATLAS; ZTF","ZTF21abizxkw","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.7791","g-ZTF","2021-07-02 10:35:33.003","ALeRCE","","2021TNSTR2277....1M","2021TNSCR2369....1S",""
"87242","SN 2021rkp","00:22:48.230","+33:30:44.24","SN Ia","0.104","WISEA J002248.26+333042.9","","ALeRCE, Pan-STARRS, AMPEL, ATLAS, GaiaAlerts","ZTF, Pan-STARRS, ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF21abjaksr","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.8323","g-ZTF","2021-07-02 10:51:03.004","ALeRCE","","2021TNSTR2277....1M","2021TNSCR2462....1S",""
"87237","SN 2021rkk","19:49:58.281","+55:55:37.16","SN Ia","0.085","","","ANTARES, Fink","ZTF","SGLF","ANTARES; ZTF","ZTF21abimejj","P48 - ZTF-Cam","LT - SPRAT","1","1","","19.3886","r-ZTF","2021-07-02 08:43:22.944","ANTARES_bot","","2021TNSTR2279....1A","2021TNSCR2505....1P",""
"87234","SN 2021rkh","13:05:49.608","+20:59:48.26","SN Ia","0.068967","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS21baci","ATLAS-MLO - ATLAS-01","UH88 - SNIFS","1","1","","19.077","orange-ATLAS","2021-07-02 07:27:50.400","ATLAS_Bot1","","2021TNSTR2280....1T","2021TNSCR2408....1H",""
