"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"123387","SN 2023wl","11:15:47.874","+00:51:08.93","SN Ia","0.0458","","","ATLAS","ATLAS","UCSC","ATLAS","ATLAS23axf","ATLAS-CHL - ATLAS-04","SOAR - Goodman","1","1","","18.3","orange-ATLAS","2023-01-19 06:45:02.592","ATLAS_Bot1","","2023TNSTR.131....1T","2023TNSCR.145....1D",""
"123380","SN 2023we","04:26:59.482","-03:50:07.73","SN Ia","0.047","","","Pan-STARRS","Pan-STARRS","LiONS","Pan-STARRS","PS23ir","PS2 - GPC2","Lijiang-2.4m - YFOSC","1","1","","18.34","w-P1","2023-01-16 06:45:35.424","PS1_Bot1","","2023TNSTR.133....1C","2023TNSCR.143....1Z",""
"123375","SN 2023vz","08:47:02.963","+30:43:16.50","SN Ia","0.066328","","","Pan-STARRS, ATLAS, ZTF","Pan-STARRS, ATLAS, ZTF","SCAT","ATLAS; Pan-STARRS; ZTF","PS23ip","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2","UH88 - SNIFS","1","1","","18.23","w-P1","2023-01-16 09:15:00.288","PS1_Bot1","","2023TNSTR.126....1C","2023TNSCR.153....1H",""
"123351","SN 2023vd","09:31:37.152","-02:17:58.26","SN Ia","0.08","","","Pan-STARRS, ATLAS","Pan-STARRS, ATLAS","SCAT","ATLAS; Pan-STARRS","PS23hv","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, PS2 - GPC2","UH88 - SNIFS","1","1","","19.57","w-P1","2023-01-15 12:16:44.832","PS1_Bot1","","2023TNSTR.121....1C","2023TNSCR.153....1H",""
"123335","SN 2023uo","08:12:36.187","+14:56:06.00","SN Ia","0.09","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS23auw","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","UH88 - SNIFS","1","1","","19.089","cyan-ATLAS","2023-01-16 22:31:35.040","ATLAS_Bot1","","2023TNSTR.119....1T","2023TNSCR.129....1T",""
"123334","SN 2023un","12:04:05.422","-25:38:19.99","SN Ia","0.069","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS23auj","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","UH88 - SNIFS","1","1","","18.629","orange-ATLAS","2023-01-17 07:17:11.040","ATLAS_Bot1","","2023TNSTR.119....1T","2023TNSCR.129....1T",""
"123287","SN 2023su","07:58:02.084","+40:55:04.26","SN Ia","0.09","","","Pan-STARRS, ATLAS, ZTF","Pan-STARRS, ATLAS, ZTF","SCAT","ATLAS; Pan-STARRS; ZTF","PS23fq","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2","UH88 - SNIFS","1","1","","19.46","w-P1","2023-01-15 08:42:37.152","PS1_Bot1","","2023TNSTR.116....1C","2023TNSCR.153....1H",""
"123281","SN 2023so","06:25:59.467","-14:40:13.01","SN Ia","0.08","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS23aua","ATLAS-CHL - ATLAS-04","UH88 - SNIFS","1","1","","18.889","orange-ATLAS","2023-01-15 04:01:52.608","ATLAS_Bot1","","2023TNSTR.113....1T","2023TNSCR.129....1T",""
"123273","SN 2023sg","04:17:24.214","-37:16:57.67","SN Ia","0.05","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS23atj","ATLAS-STH - ATLAS-03","UH88 - SNIFS","1","1","","17.567","cyan-ATLAS","2023-01-15 19:52:09.696","ATLAS_Bot1","","2023TNSTR.113....1T","2023TNSCR.128....1P",""
"123250","SN 2023rk","05:14:18.888","+46:22:23.84","SN Ia","0.018","","","ATLAS","ATLAS","LiONS","ATLAS","ATLAS23arb","ATLAS-HKO - ATLAS-02","Lijiang-2.4m - YFOSC","1","1","","17.31","orange-ATLAS","2023-01-15 08:44:23.424","ATLAS_Bot1","","2023TNSTR.113....1T","2023TNSCR.127....1Z",""
"123227","SN 2023qp","11:34:51.339","-26:00:56.94","SN Ia","0.02","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS23api","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","UH88 - SNIFS","1","1","","18.582","orange-ATLAS","2023-01-15 01:28:20.640","ATLAS_Bot1","","2023TNSTR.113....1T","",""
"123211","SN 2023qb","08:16:05.442","+55:48:23.13","SN Ia","0.0319","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF23aaagncz","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.5916","r-ZTF","2023-01-13 06:09:10.368","ZTF_CLU_PUBLIC","","2023TNSTR.108....1D","2023TNSCR.154....1F",""
"123200","SN 2023pq","00:34:51.628","+05:24:02.66","SN Ia","0.046","","","ZTF","ZTF","ZTF","ZTF","ZTF23aaaahuy","P48 - ZTF-Cam","P60 - SEDM","1","1","","17.63","g-ZTF","2023-01-07 03:10:04.800","ZTF_Bot1","","2023TNSTR..98....1F","2023TNSCR.103....1C",""
"123132","SN 2023nj","09:32:49.139","-05:32:09.95","SN Ia","0.04","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF23aaajtan","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","19.33","r-ZTF","2023-01-13 09:07:12.000","ZTF_Bot1","","2023TNSTR..98....1F","",""
"123059","SN 2023kr","12:05:17.031","+58:57:19.90","SN Ia","0.08","","","Pan-STARRS, ZTF, ATLAS","Pan-STARRS, ZTF, ATLAS","SCAT","ATLAS; Pan-STARRS; ZTF","PS23bw","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2","UH88 - SNIFS","1","1","","19.4","i-P1","2023-01-12 13:54:03.744","PS1_Bot1","","2023TNSTR..96....1C","2023TNSCR.153....1H",""
"123046","SN 2023ke","12:58:18.210","+29:07:43.32","SN Ia","0.026","","","ATLAS, ZTF, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","SCAT","ATLAS; Pan-STARRS; ZTF","ATLAS23akr","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","UH88 - SNIFS","1","1","","15.957","orange-ATLAS","2023-01-13 14:50:52.224","ATLAS_Bot1","","2023TNSTR..76....1T","2023TNSCR.129....1T",""
"123035","SN 2023jt","13:49:33.471","+56:03:03.05","SN Ia","0.071","SDSS J134933.35+560301.3","0.06804","ALeRCE, ATLAS","ZTF, ATLAS","ZTF","ALeRCE; ATLAS","ZTF23aaakutq","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.076","g-ZTF","2023-01-13 11:41:29.000","ALeRCE","","2023TNSTR..75....1M","",""
"123019","SN 2023jf","15:49:07.764","+44:42:01.23","SN Ia","0.035688","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF23aaaepzi","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","16.76","g-ZTF","2023-01-09 10:56:38.400","ZTF_Bot1","","2023TNSTR..81....1F","2023TNSCR.138....1F",""
"123015","SN 2023jb","10:26:11.516","+18:30:43.20","SN Ia","0.034867","","","ATLAS, ZTF","ATLAS, ZTF","SCAT","ATLAS; ZTF","ATLAS23ajp","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","17.168","orange-ATLAS","2023-01-13 12:23:42.144","ATLAS_Bot1","","2023TNSTR..76....1T","2023TNSCR.118....1P",""
"123012","SN 2023iy","07:58:03.760","+56:26:23.40","SN Ia","0.035","","","XOSS","XOSS","None","XOSS","PSP23A","Other - Other","Other - Other","1","1","","16.8","Clear-","2023-01-12 21:14:16.224","Zhang","","2023TNSTR..80....1W","2023TNSCR.100....1B",""
