"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"119407","SN 2022zjz","12:17:53.089","+60:45:09.54","SN Ia","0.065","SDSS J121753.13+604509.7","","ALeRCE, ATLAS","ZTF, ATLAS","ZTF","ALeRCE; ATLAS","ZTF22abrreei","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.0992","g-ZTF","2022-11-01 12:25:08.000","ALeRCE","","2022TNSTR3202....1M","2022TNSCR3391....1F",""
"119367","SN 2022zil","08:06:22.892","+01:27:27.68","SN Ia","0.095","","","ATLAS, ZTF, Pan-STARRS, Fink","ATLAS, ZTF, Pan-STARRS","ZTF","ATLAS; Fink; Pan-STARRS; ZTF","ATLAS22blgh","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.263","cyan-ATLAS","2022-10-31 08:03:06.336","ATLAS_Bot1","","2022TNSTR3188....1T","2022TNSCR3524....1J",""
"119362","SN 2022zig","10:06:33.246","-11:25:50.83","SN Ia","0.0476","","","ATLAS, ALeRCE","ATLAS, ZTF","POISE","ALeRCE; ATLAS","ATLAS22blfw","ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam","Magellan-Baade - IMACS","1","1","","18.984","cyan-ATLAS","2022-11-01 14:53:49.344","ATLAS_Bot1","","2022TNSTR3188....1T","2022TNSCR3406....1K",""
"119355","SN 2022zhz","03:59:40.300","-52:40:54.00","SN Ia-pec","0.0327","","","ATLAS","ATLAS","POISE","ATLAS","ATLAS22bldv","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","Magellan-Baade - IMACS","1","1","","18.513","orange-ATLAS","2022-11-01 04:43:35.616","ATLAS_Bot1","","2022TNSTR3187....1T","2022TNSCR3406....1K",""
"119344","SN 2022zho","09:21:51.654","+68:41:43.18","SN Ia","0.06","","","ATLAS","ATLAS","TCD","ATLAS","ATLAS22blcr","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","LT - SPRAT","1","1","","18.305","cyan-ATLAS","2022-10-31 14:47:09.312","ATLAS_Bot1","","2022TNSTR3187....1T","2022TNSCR3238....1H",""
"119301","SN 2022zfx","08:53:18.864","-24:44:50.32","SN Ia","","","","ATLAS","ATLAS","POISE","ATLAS","ATLAS22blbn","ATLAS-CHL - ATLAS-04","Magellan-Baade - IMACS","1","1","","19.148","cyan-ATLAS","2022-10-30 07:17:04.128","ATLAS_Bot1","","2022TNSTR3174....1T","2022TNSCR3406....1K",""
"119280","SN 2022zfh","18:39:20.064","+34:09:20.54","SN Ia","0.066","","","ZTF, ATLAS, Fink","ZTF, ATLAS","ZTF","ATLAS; Fink; ZTF","ZTF22abreusl","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.05","g-ZTF","2022-10-29 02:58:33.600","ZTF_Bot1","","2022TNSTR3177....1F","2022TNSCR3348....1F",""
"119278","SN 2022zff","00:28:36.246","-20:32:07.24","SN Ia","0.061","","","ZTF, ATLAS, Fink, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Fink; Pan-STARRS; ZTF","ZTF22abscvex","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","20.41","g-ZTF","2022-10-28 05:34:04.800","ZTF_Bot1","","2022TNSTR3177....1F","2022TNSCR3288....1F",""
"119232","SN 2022zdn","10:24:40.927","-18:42:12.75","SN Ia","0.048","","","YSE, ATLAS, ALeRCE","Pan-STARRS, ATLAS, ZTF","YSE","ALeRCE; ATLAS; Pan-STARRS; YSE","PS22kup","ATLAS-CHL - ATLAS-04, P48 - ZTF-Cam, PS2 - GPC2","NOT - ALFOSC","1","1","","19.45","g-P1","2022-10-30 14:35:30.336","YSE_Bot1","","2022TNSTR3165....1J","2022TNSCR3312....1A",""
"119203","SN 2022zcl","20:50:42.382","+21:30:30.67","SN Ia-91T-like","0.035","","","ATLAS","ATLAS","TCD","ATLAS","ATLAS22bkps","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Other - Other","LT - SPRAT","1","1","","18.732","cyan-ATLAS","2022-10-29 05:37:32.160","ATLAS_Bot1","","2022TNSTR3161....1T","2022TNSCR3237....1T",""
