"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"118548","SN 2022ydr","17:38:56.795","+74:49:48.52","SN Ia","0.024931","","","ZTF, ATLAS, Fink","ZTF, ATLAS","None","ATLAS; Fink; ZTF","ZTF22abnqomh","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","NOT - ALFOSC, Other - Other","1","1","","20.32","r-ZTF","2022-10-18 05:19:40.800","ZTF_Bot1","","2022TNSTR3064....1F","2022TNSCR3133....1B, 2022TNSCR3194....1V",""
"118542","SN 2022ydl","22:40:04.439","-06:38:28.28","SN Ia","0.07","","","ATLAS, ZTF, Pan-STARRS, Fink","ATLAS, ZTF, Pan-STARRS","SCAT","ATLAS; Fink; Pan-STARRS; ZTF","ATLAS22bjgg","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","UH88 - SNIFS","1","1","","18.959","cyan-ATLAS","2022-10-19 02:12:36.576","ATLAS_Bot1","","2022TNSTR3057....1T","2022TNSCR3100....1H",""
"118539","SN 2022ydi","01:08:00.625","+40:14:00.32","SN Ia","0.05","","","ATLAS, ZTF","ATLAS, ZTF","SCAT","ATLAS; ZTF","ATLAS22bjet","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.721","orange-ATLAS","2022-10-19 09:53:19.392","ATLAS_Bot1","","2022TNSTR3057....1T","2022TNSCR3080....1T",""
"118532","SN 2022ydb","04:11:10.008","-08:15:35.79","SN Ia","0.0745","","","YSE, Pan-STARRS, ZTF","Pan-STARRS, ZTF","None","Pan-STARRS; YSE; ZTF","PS22knt","P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","HET - HET-LRS","1","1","","19.62","i-P1","2022-10-19 12:07:58.656","YSE_Bot1","","2022TNSTR3045....1J","2022TNSCR3200....1Y",""
"118518","SN 2022ycn","00:09:01.623","-11:17:41.26","SN Ia","0.11","","","ZTF, ATLAS, Pan-STARRS, Fink","ZTF, ATLAS, Pan-STARRS","ePESSTO+","ATLAS; Fink; Pan-STARRS; ZTF","ZTF22abnxoji","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","19.4","g-ZTF","2022-10-19 05:32:38.400","ZTF_Bot1","","2022TNSTR3046....1F","2022TNSCR3211....1S",""
"118500","SN 2022ybv","00:31:10.674","-07:27:09.39","SN Ia-91T-like","0.1","SDSS J003110.96-072708.0","","ALeRCE, Pan-STARRS, ATLAS, Fink","ZTF, Pan-STARRS, ATLAS","None","ALeRCE; ATLAS; Fink; Pan-STARRS","ZTF22abnxovx","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","NOT - ALFOSC","1","1","","19.4808","g-ZTF","2022-10-19 05:32:20.999","ALeRCE","","2022TNSTR3041....1M","2022TNSCR3198....1M",""
"118493","SN 2022ybo","10:32:16.220","+53:38:38.83","SN Ia","0.042","","","ZTF, ATLAS, YSE, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; YSE; ZTF","ZTF22abnlwjv","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","19.16","g-ZTF","2022-10-15 11:09:36.000","ZTF_Bot1","","2022TNSTR3046....1F","2022TNSCR3065....1F",""
"118492","SN 2022ybn","00:26:41.947","-02:32:15.34","SN Ia","0.086","","","ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","SCAT, None","ATLAS; Pan-STARRS","ATLAS22bjdq","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, PS2 - GPC2","NOT - ALFOSC, UH88 - SNIFS","1","1","","18.884","cyan-ATLAS","2022-10-19 05:14:19.392","ATLAS_Bot1","","2022TNSTR3043....1T","2022TNSCR3125....1H, 2022TNSCR3196....1C",""
"118482","SN 2022ybd","17:08:04.416","+26:22:39.50","SN Ia","0.0417","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF22abnvzhx","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.98","g-ZTF","2022-10-17 02:57:07.200","ZTF_Bot1","","2022TNSTR3046....1F","2022TNSCR3127....1F",""
"118466","SN 2022ybb","23:30:06.184","+05:40:37.28","SN Ia","0.13","","","ATLAS, ZTF","ATLAS, ZTF","SCAT","ATLAS; ZTF","ATLAS22bjcq","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.941","cyan-ATLAS","2022-10-18 09:35:28.896","ATLAS_Bot1","","2022TNSTR3029....1T","2022TNSCR3051....1H",""
"118464","SN 2022yaz","08:27:19.603","-13:24:35.63","SN Ia","0.07","","","ATLAS, ZTF, Fink","ATLAS, ZTF","ZTF","ATLAS; Fink; ZTF","ATLAS22bjck","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.714","orange-ATLAS","2022-10-18 14:54:29.952","ATLAS_Bot1","","2022TNSTR3029....1T","2022TNSCR3081....1F",""
"118460","SN 2022yav","07:33:36.765","+19:00:02.05","SN Ia","0.074","","","ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","SCAT","ATLAS; Pan-STARRS","ATLAS22bjbl","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, PS2 - GPC2","UH88 - SNIFS","1","1","","18.945","orange-ATLAS","2022-10-18 14:47:37.824","ATLAS_Bot1","","2022TNSTR3029....1T","2022TNSCR3051....1H",""
"118459","SN 2022yau","04:13:24.432","+27:35:35.56","SN Ia","0.07","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS22bjaw","ATLAS-HKO - ATLAS-02","UH88 - SNIFS","1","1","","19.066","orange-ATLAS","2022-10-18 11:49:52.608","ATLAS_Bot1","","2022TNSTR3029....1T","2022TNSCR3051....1H",""
"118453","SN 2022yao","21:41:16.715","+34:30:54.82","SN Ia","0.071","WISEA J214116.67+343054.6","","ALeRCE, ATLAS","ZTF, ATLAS","ZTF","ALeRCE; ATLAS","ZTF22abniami","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.3341","r-ZTF","2022-10-15 04:09:39.004","ALeRCE","","2022TNSTR3027....1M","2022TNSCR3170....1F",""
"118394","SN 2022xzm","00:16:57.806","+22:31:28.85","SN Ia","0.017949","","","ATLAS, ZTF, Pan-STARRS, Fink","ATLAS, ZTF, Pan-STARRS","SCAT, ZTF, None","ATLAS; Fink; Pan-STARRS; ZTF","ATLAS22bizg","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2","NOT - ALFOSC, P60 - SEDM, UH88 - SNIFS","1","1","","19.122","cyan-ATLAS","2022-10-18 06:49:40.800","ATLAS_Bot1","","2022TNSTR3029....1T","2022TNSCR3051....1H, 2022TNSCR3112....1S, 2022TNSCR3195....1K",""
