"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"57134","SN 2020gar","13:57:59.146","-12:37:13.18","SN Ia","0.07","","","ZTF","ZTF","ZTF","ZTF","ZTF20aauqoim","P48 - ZTF-Cam","P60 - SEDM","1","1","","20.7","g-ZTF","2020-03-29 09:15:50.400","ZTF_Bot1","","2020TNSTR.985....1F","2020TNSCR1130....1D",""
"57133","SN 2020gaq","20:20:14.529","+16:36:32.19","SN Ia","0.08","","","ZTF","ZTF","ZTF","ZTF","ZTF20aauqrpe","P48 - ZTF-Cam","P60 - SEDM","1","1","","18.69","g-ZTF","2020-04-05 11:06:43.200","ZTF_Bot1","","2020TNSTR.985....1F","2020TNSCR1240....1D",""
"57120","SN 2020gad","19:53:56.474","+02:04:05.58","SN Ia","0.02523","WISEA J195356.53+020405.3","0.025234","ALeRCE","ZTF","ZTF","ZTF","ZTF20aauqtcp","P48 - ZTF-Cam","P60 - SEDM","1","1","","17.2147","g-ZTF","2020-04-05 11:37:40.999","ALeRCE","","2020TNSTR.968....1F","2020TNSCR1130....1D",""
"57117","SN 2020gaa","11:56:46.902","+52:29:01.89","SN Ia","0.0515","WISEA J115647.17+522903.7","0.051518","ALeRCE, ATLAS, ZTF, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF18aajivpr","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.1482","r-ZTF","2020-04-05 08:25:07.003","ALeRCE","","2020TNSTR.968....1F","2020TNSCR1090....1D",""
"57114","SN 2020fzx","07:51:08.990","+22:44:27.31","SN Ia","0.02883","WISEA J075108.93+224426.9","0.028827","ALeRCE, ATLAS, ZTF, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF20aaupkac","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","17.3233","r-ZTF","2020-04-05 04:27:09.999","ALeRCE","","2020TNSTR.968....1F","2020TNSCR1052....1D",""
"57084","SN 2020fyt","12:01:30.342","+59:19:09.38","SN Ia","0.05","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF20aaupolv","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","LT - SPRAT","1","1","","18.43","r-ZTF","2020-04-05 09:18:05.184","ZTF_AMPEL_NEW","","2020TNSTR.977....1N","2020TNSCR1091....1P",""
"57050","SN 2020fxm","18:59:49.920","+33:38:52.44","SN Ia","0.075","WISEA J185949.94+333852.1","","ALeRCE, GaiaAlerts","ZTF, GaiaAlerts","ZTF","GaiaAlerts; ZTF","ZTF20aauooag","Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.7134","g-ZTF","2020-04-04 10:47:34.002","ALeRCE","","2020TNSTR.960....1F","2020TNSCR1052....1D",""
"57046","SN 2020fxi","14:56:59.117","+09:40:30.93","SN Ia","0.0852","WISEA J145658.85+094031.4","0.085249","ALeRCE, Pan-STARRS, ATLAS, ZTF","ZTF, Pan-STARRS, ATLAS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF20aauomaf","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P60 - SEDM","1","1","","18.8292","g-ZTF","2020-04-04 10:06:00.999","ALeRCE","","2020TNSTR.960....1F","2020TNSCR1154....1D",""
"57038","SN 2020fxa","15:34:33.040","+37:32:01.79","SN Ia","0.064","WISEA J153433.10+373155.6","0.064391","ALeRCE, ATLAS, Pan-STARRS, ZTF, GaiaAlerts","ZTF, ATLAS, Pan-STARRS, GaiaAlerts","SIRAH, ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF20aauowam","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","LT - SPRAT","1","1","","20.1138","g-ZTF","2020-04-04 11:00:17.001","ALeRCE","","2020TNSTR.960....1F","2020TNSCR.986....1P, 2020TNSCR1520....1P",""
"57025","SN 2020fwn","14:55:54.326","+17:36:23.15","SN Ia","0.0389","","","ZTF, Pan-STARRS, ATLAS","ZTF, Pan-STARRS, ATLAS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF20aauombk","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P60 - SEDM","1","1","","18.21","g-ZTF","2020-04-04 10:06:40.320","ZTF_AMPEL_NEW","","2020TNSTR.966....1N","2020TNSCR1041....1D",""
"57000","SN 2020fvo","11:24:24.397","-08:16:09.78","SN Ia","0.024","","","ZTF, Pan-STARRS","ZTF, Pan-STARRS","ZTF","Pan-STARRS; ZTF","ZTF20aaullwp","P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P200 - DBSP","1","1","","16.55","g-ZTF","2020-04-01 08:03:50.400","ZTF_Bot1","","2020TNSTR.955....1F","2020TNSCR1756....1D",""
"56944","SN 2020ftl","12:20:03.770","+05:20:35.84","SN Ia","0.0073","NGC 4277","0.0073","SNHunt, ATLAS, Pan-STARRS, ZTF, GaiaAlerts","CRTS, ATLAS, Pan-STARRS, ZTF, GaiaAlerts","None, ZTF","ATLAS; CRTS; GaiaAlerts; Pan-STARRS; ZTF","","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, Other - Other, P48 - ZTF-Cam, PS2 - GPC2","Other - Other, P60 - SEDM","1","1","","18.5","V-crts-CRTS","2020-04-02 06:23:46.000","Drake","","2020TNSTR.942....1C","2020TNSCR1001....1B, 2020TNSCR1517....1M, 2020TNSCR1519....1D, 2020TNSCR1521....1D",""
"56939","SN 2020ftg","08:32:56.717","-05:40:00.00","SN Ia","0.05","","","ALeRCE, ATLAS, ZTF","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF20aaukudw","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","LT - SPRAT","1","1","","18.6136","g-ZTF","2020-04-02 03:34:53.999","ALeRCE","","2020TNSTR.935....1F","2020TNSCR1155....1P",""
"56936","SN 2020ftd","12:53:04.560","-15:27:05.50","SN Ia","0.042446","WISEA J125303.79-152701.4","0.042993","ALeRCE, Pan-STARRS, ATLAS, ZTF","ZTF, Pan-STARRS, ATLAS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF20aaummmc","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","18.2111","r-ZTF","2020-04-02 08:35:05.997","ALeRCE","","2020TNSTR.935....1F","2020TNSCR1130....1D",""
"56918","SN 2020fsl","12:31:57.802","-20:33:01.40","SN Ia","0.044671","WISEA J123157.79-203303.8","0.044671","ALeRCE, ATLAS, ZTF","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF20aaumnfl","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","17.8564","r-ZTF","2020-04-02 08:35:44.998","ALeRCE","","2020TNSTR.935....1F","2020TNSCR1624....1D",""
