"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"36444","SN 2019dpw","15:35:26.841","+08:23:11.33","SN Ia","0.04301","","","ZTF","ZTF","ZTF","ZTF","ZTF19aardunx","P48 - ZTF-Cam","P60 - SEDM","1","1","","20.22","r-ZTF","2019-04-13 09:02:52.000","ZTF_Bot1","","2019TNSTR.606....1F","2019TNSCR.636....1F",""
"36442","SN 2019dpu","13:04:18.440","+33:28:15.78","SN Ia","0.075","","","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","None","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF19aaqcqkv","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","LT - SPRAT","1","1","","20.53","g-ZTF","2019-04-12 05:28:19.000","ZTF_Bot1","","2019TNSTR.606....1F","2019TNSCR.624....1P",""
"36408","SN 2019dom","18:34:08.449","+70:57:17.25","SN Ia","0.082","","","ZTF","ZTF","ZTF","ZTF","ZTF19aapwbvm","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.13","r-ZTF","2019-04-15 09:15:50.000","ZTF_Bot1","","2019TNSTR.600....1F","2019TNSCR.848....1F",""
"36390","SN 2019dnu","19:30:03.553","-39:21:54.12","SN Ia","0.07","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS19hls","ATLAS-HKO - ATLAS-02","UH88 - SNIFS","1","1","","18.834","orange-ATLAS","2019-04-16 14:36:57.000","ATLAS_Bot1","","2019TNSTR.585....1T","2019TNSCR.695....1A",""
"36389","SN 2019dnt","21:00:01.600","-49:57:57.67","SN Ia","","ESO 235-IG 030","0.049047","ASAS-SN, GaiaAlerts, ATLAS","ASAS-SN, GaiaAlerts, ATLAS","None","ASAS-SN; ATLAS; GaiaAlerts","ASASSN-19kh","ASASSN-3 - Paczynski, ASASSN-5 - Payne-Gaposchkin, ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric","SOAR - Goodman","1","1","","17.5","g-Sloan","2019-04-16 07:40:48.000","Stanek","","2019TNSTR.582....1S","2019TNSCR.616....1S",""
"36355","SN 2019dml","20:17:11.720","+05:16:40.26","SN Ia","0.023313","","","GaiaAlerts, ZTF, Pan-STARRS","GaiaAlerts, ZTF, Pan-STARRS","ZTF","GaiaAlerts; Pan-STARRS; ZTF","Gaia19bhy","Gaia - Gaia-photometric, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","18.77","G-Gaia","2019-04-09 22:17:45.000","Gaia_Bot1","","2019TNSTR.571....1D","2019TNSCR.636....1F",""
"36326","SN 2019dli","13:16:54.620","+33:25:07.93","SN Ia","0.08434","","","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF19aapvhhp","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.33","g-ZTF","2019-04-11 07:29:48.000","ZTF_AMPEL_NEW","","2019TNSTR.573....1N","2019TNSCR.636....1F",""
"36325","SN 2019dlh","09:46:06.130","+67:12:25.02","SN Ia","0.07","","","ZTF, GaiaAlerts, ATLAS","ZTF, GaiaAlerts, ATLAS","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF19aaptwpu","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.99","r-ZTF","2019-04-11 04:14:51.000","ZTF_AMPEL_NEW","","2019TNSTR.573....1N","2019TNSCR.799....1F",""
"36315","SN 2019dkx","14:52:30.087","+37:03:43.54","SN Ia","0.07","","","ZTF, Pan-STARRS","ZTF, Pan-STARRS","Global SN Project, ZTF","Pan-STARRS; ZTF","ZTF19aapszzy","P48 - ZTF-Cam, PS1 - GPC1","FTN - FLOYDS-N, P60 - SEDM","1","1","","18.9","r-ZTF","2019-04-10 08:20:00.000","ZTF_AMPEL_NEW","","2019TNSTR.566....1N","2019TNSCR.580....1H, 2019TNSCR2790....1F",""
"36313","SN 2019dkv","16:26:46.610","+44:57:15.05","SN Ia","0.06","","","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF19aapocyd","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.46","g-ZTF","2019-04-10 09:12:03.000","ZTF_AMPEL_NEW","","2019TNSTR.566....1N","2019TNSCR.747....1F",""
