"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"65809","SN 2020sha","05:00:50.046","-13:06:23.37","SN Ia","0.06","","","ATLAS, ZTF, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ATLAS20yqr","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","LT - SPRAT","1","1","","19.075","orange-ATLAS","2020-08-29 14:13:55.200","ATLAS_Bot1","","2020TNSTR2679....1T","2020TNSCR2800....1P",""
"65789","SN 2020sgh","18:26:10.933","+34:26:15.25","SN Ia","0.07","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF20abxrsjb","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.42","g-ZTF","2020-08-30 05:25:55.776","ZTF_AMPEL_COMPLETE","","2020TNSTR2683....1N","2020TNSCR2750....1D",""
"65788","SN 2020sgg","04:58:13.620","-20:21:27.11","SN Ia","0.022742","","","ATLAS, ZTF, Pan-STARRS, GaiaAlerts","ATLAS, ZTF, Pan-STARRS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ATLAS20ymv","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P60 - SEDM","1","1","","18.349","orange-ATLAS","2020-08-30 14:21:07.200","ATLAS_Bot1","","2020TNSTR2668....1T","2020TNSCR2724....1D",""
"65784","SN 2020sgc","18:43:44.524","+66:47:47.10","SN Ia","0.09","2MASS J18434453+6647473","","ALeRCE, ZTF","ZTF","ZTF","ZTF","ZTF20abxmgny","P48 - ZTF-Cam","P60 - SEDM","1","1","","18.4474","g-ZTF","2020-08-29 07:34:55.998","ALeRCE","","2020TNSTR2667....1F","2020TNSCR2724....1D",""
"65782","SN 2020sga","21:23:36.300","+13:49:03.01","SN Ia","0.079","WISEA J212336.38+134901.9","","ALeRCE, ZTF, YSE","ZTF, Pan-STARRS","UCSC","Pan-STARRS; ZTF","ZTF20abxjefm","P48 - ZTF-Cam, PS1 - GPC1","Keck1 - LRIS","1","1","","19.6412","g-ZTF","2020-08-29 06:44:27.997","ALeRCE","","2020TNSTR2667....1F","2020TNSCR2840....1D",""
"65774","SN 2020sfs","02:41:25.247","+13:20:22.34","SN Ia","0.08","","","ZTF, Pan-STARRS, ATLAS","ZTF, Pan-STARRS, ATLAS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF20abxfiev","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","APO-3.5m - DIS","1","1","","20","g-ZTF","2020-08-27 12:00:06.048","ZTF_AMPEL_COMPLETE","","2020TNSTR2670....1N","2020TNSCR2830....1G",""
"65765","SN 2020sfn","17:49:06.054","+61:37:50.55","SN Ia","0.035","SDSS J174906.53+613752.2","0.069","ALeRCE, ATLAS, ZTF","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF20abxgwjr","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.0564","r-ZTF","2020-08-29 04:30:25.004","ALeRCE","","2020TNSTR2654....1F","2020TNSCR2694....1D",""
"65757","SN 2020sff","03:36:56.520","+02:46:48.76","SN Ia","0.042","","","ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF20abvycao","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P60 - SEDM","1","1","","17.6","g-ZTF","2020-08-23 10:17:45.600","ZTF_Bot1","","2020TNSTR2659....1D","2020TNSCR2661....1D",""
"65740","SN 2020seo","01:24:34.856","-00:25:21.20","SN Ia","0.0757538","WISEA J012434.86-002521.2","0.076813","ALeRCE, ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF20abxezim","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","APO-3.5m - DIS","1","1","","19.6564","g-ZTF","2020-08-28 09:00:09.996","ALeRCE","","2020TNSTR2638....1F","2020TNSCR2830....1G",""
"65686","SN 2020scn","22:07:52.435","-10:33:32.09","SN Ia","0.082073","","","ZTF, Pan-STARRS","ZTF, Pan-STARRS","ZTF","Pan-STARRS; ZTF","ZTF20abxcycq","P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P60 - SEDM","1","1","","20.35","r-ZTF","2020-08-21 06:27:21.600","ZTF_Bot1","","2020TNSTR2629....1F","2020TNSCR2724....1D",""
"65685","SN 2020scm","20:50:02.320","+29:42:26.32","SN Ia","0.03","","","ZTF, GaiaAlerts","ZTF, GaiaAlerts","ZTF","GaiaAlerts; ZTF","ZTF20abwavab","Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.21","r-ZTF","2020-08-23 06:44:38.400","ZTF_Bot1","","2020TNSTR2629....1F","2020TNSCR2686....1D",""
"65683","SN 2020sck","01:10:34.841","+02:06:50.15","SN Iax[02cx-like]","0.017","","","ZTF, YSE, Pan-STARRS, ATLAS","ZTF, Pan-STARRS, ATLAS","TCD","ATLAS; Pan-STARRS; ZTF","ZTF20abwrcmq","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","LT - SPRAT","1","1","","19.7","r-ZTF","2020-08-25 10:03:21.600","ZTF_Bot1","","2020TNSTR2629....1F","2020TNSCR2685....1P",""
"65682","SN 2020scj","00:04:30.240","+17:32:34.48","SN Ia","0.103","","","ZTF, YSE, Pan-STARRS","ZTF, Pan-STARRS","UCSC","Pan-STARRS; ZTF","ZTF20abwdwoa","P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","Keck1 - LRIS","1","1","","19.6","r-ZTF","2020-08-25 08:35:31.200","ZTF_AMPEL_COMPLETE","","2020TNSTR2630....1N","2020TNSCR2840....1D",""
"65677","SN 2020sce","00:34:45.655","+77:38:54.73","SN Ia","0.08","","","ZTF","ZTF","ZTF","ZTF","ZTF20abwyyjc","P48 - ZTF-Cam","P60 - SEDM","1","1","","20.76","r-ZTF","2020-08-08 10:36:28.800","ZTF_Bot1","","2020TNSTR2629....1F","2020TNSCR2765....1D",""
