"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"27528","SN 2018dcm","17:25:41.490","+23:52:08.76","SN Ia","0.0638","","","ZTF, GaiaAlerts, ATLAS, Pan-STARRS","ZTF, GaiaAlerts, ATLAS, Pan-STARRS","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF18abdgwxn","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.22","g-ZTF","2018-06-30 04:32:09.000","ZTF_Bot1","","2018TNSTR.925....1F","2018TNSCR.933....1F",""
"27492","SN 2018dbe","14:27:55.239","+40:58:27.64","SN Ia","0.087","","","ZTF","ZTF","ZTF","ZTF","ZTF18abdfazk","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.96","g-ZTF","2018-06-25 04:29:16.000","ZTF_Bot1","","2018TNSTR.915....1F","2018TNSCR.975....1F",""
"27491","SN 2018dbd","16:52:47.347","+51:33:48.34","SN Ia","0.075","","","ZTF","ZTF","ZTF","ZTF","ZTF18abdbuty","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.27","r-ZTF","2018-06-28 07:56:38.000","ZTF_Bot1","","2018TNSTR.915....1F","2018TNSCR.916....1F",""
"27490","SN 2018dbc","15:21:24.311","+69:36:22.63","SN Ia","0.08","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF18abcecfi","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.73","r-ZTF","2018-06-21 06:15:50.000","ZTF_Bot1","","2018TNSTR.915....1F","2018TNSCR.916....1F",""
"27396","SN 2018cxm","14:53:58.320","+26:00:07.06","SN Ia","0.04828","","","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","None, ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF18abdfaqi","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","Lick-3m - KAST, P60 - SEDM","1","1","","18.84","g-ZTF","2018-06-28 05:25:26.000","ZTF_Bot1","","2018TNSTR.908....1F","2018TNSCR.948....1D, 2018TNSCR2111....1F",""
"27395","SN 2018cxl","17:44:24.626","+55:10:31.56","SN Ia","0.06","","","ZTF","ZTF","ZTF","ZTF","ZTF18abcsgvj","P48 - ZTF-Cam","P60 - SEDM","1","1","","20.82","g-ZTF","2018-06-21 09:51:50.000","ZTF_Bot1","","2018TNSTR.908....1F","2018TNSCR.916....1F",""
"27394","SN 2018cxk","17:14:22.207","+48:15:51.76","SN Iax[02cx-like]","0.03","","","ZTF","ZTF","ZTF","ZTF","ZTF18abclfee","P48 - ZTF-Cam","P60 - SEDM","1","1","","20.26","g-ZTF","2018-06-21 05:15:21.000","ZTF_Bot1","","2018TNSTR.908....1F","2018TNSCR.952....1F",""
"27393","SN 2018cxj","12:46:30.218","+77:16:51.51","SN Ia","0.05","","","ZTF","ZTF","ZTF","ZTF","ZTF18abdcfgz","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.51","r-ZTF","2018-06-26 06:43:12.000","ZTF_Bot1","","2018TNSTR.908....1F","2018TNSCR.920....1F",""
"27388","SN 2018cxe","17:21:01.630","+26:09:07.31","SN Ia","0.043811","","","GaiaAlerts, ATLAS, Pan-STARRS","GaiaAlerts, ATLAS, Pan-STARRS","ASAS-SN","ATLAS; GaiaAlerts; Pan-STARRS","Gaia18bqm","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, PS1 - GPC1","LCO-duPont - WFCCD","1","1","","17.79","G-Gaia","2018-06-26 05:02:24.000","Gaia_Bot1","","2018TNSTR.902....1D","2018TNSCR.988....1K",""
"27355","SN 2018cvx","12:51:27.480","+20:36:23.18","SN Ia","0.062","","","ZTF, GaiaAlerts","ZTF, GaiaAlerts","ZTF","GaiaAlerts; ZTF","ZTF18abcrzfz","Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.64","r-ZTF","2018-06-23 05:38:24.000","ZTF_Bot1","","2018TNSTR.895....1F","2018TNSCR.900....1F",""
"27354","SN 2018cvw","15:57:02.310","+37:25:01.60","SN Ia","0.0309","","","ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF18abcrxoj","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.08","g-ZTF","2018-06-24 05:12:28.000","ZTF_Bot1","","2018TNSTR.895....1F","2018TNSCR.900....1F",""
"27353","SN 2018cvv","12:04:35.870","+12:33:24.48","SN Ia","0.0646","","","ZTF, GaiaAlerts","ZTF, GaiaAlerts","ZTF","GaiaAlerts; ZTF","ZTF18abcryxz","Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.72","r-ZTF","2018-06-23 05:36:57.000","ZTF_Bot1","","2018TNSTR.895....1F","2018TNSCR.904....1F",""
"27352","SN 2018cvu","13:15:34.316","+28:20:34.48","SN Ia","0.10151","","","ZTF","ZTF","ZTF","ZTF","ZTF18abcrtnq","P48 - ZTF-Cam","P60 - SEDM","1","1","","20.23","g-ZTF","2018-06-19 04:40:48.000","ZTF_Bot1","","2018TNSTR.895....1F","2018TNSCR.900....1F",""
