"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"79566","SN 2021ghc","09:56:32.990","+00:45:08.24","SN Ia","0.046217","","","ATLAS, ALeRCE, Pan-STARRS, Fink, GaiaAlerts","ATLAS, ZTF, Pan-STARRS, GaiaAlerts","SIRAH, ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ATLAS21ipw","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P60 - SEDM, SALT - RSS","1","1","","19.669","orange-ATLAS","2021-03-19 08:44:09.600","ATLAS_Bot1","","2021TNSTR.816....1T","2021TNSCR.846....1J, 2021TNSCR.922....1D",""
"79548","SN 2021ggl","14:34:39.162","-08:02:25.93","SN Ia","0.195","","","Pan-STARRS","Pan-STARRS","adH0cc","Pan-STARRS","PS21byg","PS1 - GPC1","VLT-UT1 - FORS2","1","1","","21.99","w-P1","2021-03-15 13:27:50.400","PS1_Bot1","","2021TNSTR.822....1C","2021TNSCR.899....1V",""
"79532","SN 2021gfv","15:43:22.055","+12:57:36.09","SN Ia","0.111","SDSS J154322.31+125736.8","0.110718","SGLF, Pan-STARRS, YSE","ZTF, Pan-STARRS","YSE","Pan-STARRS; SGLF; ZTF","ZTF21aaptmqr","P48 - ZTF-Cam, PS1 - GPC1","SOAR - Goodman","1","1","","20.278","r-ZTF","2021-03-09 12:05:41.000","Perez-Fournon","","2021TNSTR.827....1S","2021TNSCR1069....1D",""
"79530","SN 2021gft","10:04:58.550","-18:22:47.64","SN Ia","0.07","","","SGLF, ATLAS, Fink, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; SGLF; ZTF","ZTF21aapzgtu","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS2 - GPC2","LT - SPRAT","1","1","","20.519","r-ZTF","2021-03-17 06:03:29.000","Perez-Fournon","","2021TNSTR.825....1P","2021TNSCR1009....1P",""
"79519","SN 2021gfi","16:25:38.312","+30:09:34.53","SN Ia","0.095","","","ATLAS, Fink","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS21imz","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.492","cyan-ATLAS","2021-03-18 13:17:45.600","ATLAS_Bot1","","2021TNSTR.799....1T","2021TNSCR.965....1D",""
"79510","SN 2021gez","16:22:10.029","+21:13:20.02","SN Ia","0.03206","","","ATLAS, ALeRCE, YSE, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ATLAS21img","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P60 - SEDM","1","1","","19.72","cyan-ATLAS","2021-03-18 13:23:31.200","ATLAS_Bot1","","2021TNSTR.799....1T","2021TNSCR.904....1D",""
"79498","SN 2021gen","14:51:55.239","+10:07:25.13","SN Ia","0.080611","","","ATLAS, ZTF","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS21ikj","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.923","cyan-ATLAS","2021-03-18 11:51:21.600","ATLAS_Bot1","","2021TNSTR.799....1T","2021TNSCR.922....1D",""
"79496","SN 2021gel","12:26:32.288","+31:25:42.22","SN Ia-91bg-like","0.06","","","ATLAS, Pan-STARRS, YSE","ATLAS, Pan-STARRS","UCSC","ATLAS; Pan-STARRS","ATLAS21ikd","ATLAS-HKO - ATLAS-02, PS1 - GPC1","Lick-3m - KAST","1","1","","18.749","cyan-ATLAS","2021-03-18 12:04:19.200","ATLAS_Bot1","","2021TNSTR.799....1T","2021TNSCR.884....1H",""
"79485","SN 2021gea","13:33:18.033","-33:05:47.00","SN Ia-91T-like","0.05","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS21iig","ATLAS-MLO - ATLAS-01","UH88 - SNIFS","1","1","","18.281","orange-ATLAS","2021-03-18 11:28:19.200","ATLAS_Bot1","","2021TNSTR.799....1T","2021TNSCR.865....1T",""
"79476","SN 2021gdr","16:48:37.447","+36:08:54.76","SN Ia","0.052228","WISEA J164837.50+360853.5","0.052228","ALeRCE, AMPEL","ZTF","ZTF","ZTF","ZTF21aaplooj","P48 - ZTF-Cam","P60 - SEDM","1","1","","18.3858","r-ZTF","2021-03-18 09:12:50.999","ALeRCE","","2021TNSTR.797....1M","2021TNSCR.833....1D",""
