"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"15237","SN 2016grh","21:25:40.667","-02:13:29.41","SN Ia","0.096","","","Pan-STARRS","Pan-STARRS","PESSTO","Pan-STARRS","PS16ell","PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","19.23","w-P1","2016-09-26 07:12:00.000","PS1_Bot1","","2016TNSTR.733....1C","2016TNSCR.746....1S",""
"15206","SN 2016gqc","05:08:05.220","-41:41:13.70","SN Ia","0.048","2MASX J05080487-4141151","0.04453","ASAS-SN","ASAS-SN","PESSTO","ASAS-SN","ASASSN-16kw","ASASSN-2 - Cassius","ESO-NTT - EFOSC2-NTT","1","1","","17","V-Johnson","2016-09-27 08:09:36.000","Holoien","","2016TNSTR.722....1H","2016TNSCR.736....1S",""
"15205","SN 2016gqb","05:07:39.670","-19:32:57.20","SN Ia","0.03","2MASX J05073951-1932539","0.030434","ASAS-SN","ASAS-SN","LCOGT SN-KP","ASAS-SN","ASASSN-16kv","ASASSN-2 - Cassius","FTS - FLOYDS-S","1","1","","17.1","V-Johnson","2016-09-27 05:31:12.000","Holoien","","2016TNSTR.722....1H","2016TNSCR.753....1H",""
"15172","SN 2016gou","18:08:06.501","+25:24:31.32","SN Ia","0.016","","","ATLAS","ATLAS","LCOGT SN-KP","ATLAS","ATLAS16cxr","ATLAS-HKO - ATLAS-02","FTN - FLOYDS-N","1","1","","17.64","orange-ATLAS","2016-09-22 05:58:33.000","ATLAS_Bot1","","2016TNSTR.718....1T","2016TNSCR.721....1H",""
"15164","SN 2016gom","03:18:13.240","-50:53:05.32","SN Ia","0.062","","","GaiaAlerts","GaiaAlerts","PESSTO","GaiaAlerts","Gaia16bjz","Gaia - Gaia-photometric","ESO-NTT - EFOSC2-NTT","1","1","","18.56","G-Gaia","2016-09-23 21:28:48.000","Gaia_Bot1","","2016TNSTR.715....1D","2016TNSCR.736....1S",""
"15162","SN 2016gok","14:32:41.460","+52:04:50.84","SN Ia","0.086","","","GaiaAlerts","GaiaAlerts","None","GaiaAlerts","Gaia16bjx","Gaia - Gaia-photometric","NOT - ALFOSC","1","1","","18.82","G-Gaia","2016-09-23 18:27:21.000","Gaia_Bot1","","2016TNSTR.715....1D","2016TNSCR.745....1P",""
"15122","SN 2016gmw","01:04:33.530","-01:59:02.13","SN Ia","0.06","","","iPTF, Pan-STARRS","iPTF, Pan-STARRS","iPTF","iPTF; Pan-STARRS","iPTF16gmw","P48 - CFH12k, PS1 - GPC1","P60 - SEDM","1","1","","17.9125","g-PTF","2016-09-24 09:53:16.000","iPTF_Bot1","","2016TNSTR.732....1K","2016TNSCR.735....1P",""
"15119","SN 2016gmt","01:01:31.363","+38:32:42.52","SN Ia","0.15","","","iPTF","iPTF","iPTF","iPTF","iPTF16gmt","P48 - CFH12k","P60 - SEDM","1","1","2016-10-27","19.7729","R-PTF","2016-09-24 12:10:04.000","iPTF_Bot1","","2016TNSTR.841....1K","2016TNSCR.843....1H",""
"15107","SN 2016gmh","00:56:06.587","+14:20:44.66","SN Ia","0.08389","","","Pan-STARRS, iPTF","Pan-STARRS, iPTF","iPTF","iPTF; Pan-STARRS","PS16enk","P48 - CFH12k, PS1 - GPC1","P60 - SEDM","1","1","","19.08","w-P1","2016-10-06 11:08:09.000","PS1_Bot1","","2016TNSTR.783....1C","2016TNSCR.843....1H",""
"15106","SN 2016gmg","21:23:41.850","+33:06:52.78","SN Ia","0.049","2MASX J21234100+3307075","0.049","PTSS, GaiaAlerts","PTSS, GaiaAlerts","PTSS","GaiaAlerts; PTSS","PTSS-16opy","CNEOST - STA1600, Gaia - Gaia-photometric","Lijiang-2.4m - YFOSC","1","1","","18.8","r-Sloan","2016-09-23 11:31:47.000","Li","","2016TNSTR.712....1T","2016TNSCR.737....1Z",""
"15101","SN 2016gmb","00:34:44.670","-06:09:34.39","SN Ia","0.058","GALEXASC J003445.02-060936.8","","PTSS","PTSS","PESSTO","PTSS","PTSS-16oqc","CNEOST - STA1600","ESO-NTT - EFOSC2-NTT","1","1","","17.9","r-Sloan","2016-09-23 15:58:27.000","Li","","2016TNSTR.713....1X","2016TNSCR.714....1A",""
"15099","SN 2016glz","00:05:53.593","+08:25:48.58","SN Ia","0.02","","","iPTF, Pan-STARRS","iPTF, Pan-STARRS","iPTF","iPTF; Pan-STARRS","iPTF16glz","Other - Other, P48 - CFH12k, PS1 - GPC1","P60 - SEDM","1","1","","17.8559","R-PTF","2016-09-23 10:27:50.000","iPTF_Bot1","","2016TNSTR.732....1K","2016TNSCR.735....1P",""
