Dong et al. (2015e)            |                    Not explained in the paper
Dong et al. (2015f)            |                    Not explained in the paper
Dong et al. (2015g)            |                    Not explained in the paper
Dong et al. (2015h)            |                    Not explained in the paper
Dong et al. (2015i)            |                    Not explained in the paper
Dong et al. (2015j)            |                    Not explained in the paper
Elias-Rosa et al. (2015a)      |                    Not explained in the paper
Elias-Rosa et al. (2015b)      |                    Not explained in the paper
Falco et al. (2015a)           |                    Not explained in the paper
Falco et al. (2015b)           |                    Not explained in the paper
Falco et al. (2015c)           |                    Not explained in the paper
Falco et al. (2015d)           |                    Not explained in the paper
Falco et al. (2015e)           |                    Not explained in the paper
Falco et al. (2015f)           |                    Not explained in the paper
Falco et al. (2015g)           |                    Not explained in the paper
Falco et al. (2016)            |                    Not explained in the paper
Fernandez et al. (2015a)       |2015ATel.6983....1F
Fernandez et al. (2015b)       |2015ATel.6989....1F
Fernandez et al. (2015c)       |                    Not explained in the paper
Fernandez et al. (2015d)       |                    Not explained in the paper
Fernandez et al. (2015e)       |                    Not explained in the paper
Firth et al. (2016)            |                    Not explained in the paper
Foley et al. (2015)            |                    Not explained in the paper
Fraser et al. (2015a)          |                    Not explained in the paper
Fraser et al. (2015b)          |                    Not explained in the paper
Fremling et al. (2015a)        |2015ATel.6909....1F
Fremling et al. (2015b)        |2015ATel.6974....1F
Frohmaier et al. (2015)        |                    Not explained in the paper
Frohmaier et al. (2016)        |                    Not explained in the paper
Gonzalez et al. (2015)         |2015ATel.6919....1G
Guo et al. (2015)              |                    Not explained in the paper
Holoien et al. (2015a)         |2015ATel.6894....1H
Holoien et al. (2015b)         |2015ATel.6990....1H
Holoien et al. (2015c)         |                    Not explained in the paper
Holoien et al. (2015d)         |                    Not explained in the paper
Holoien et al. (2015e)         |                    Not explained in the paper
Holoien et al. (2015f)         |                    Not explained in the paper
Holoien et al. (2015g)         |                    Not explained in the paper
Holoien et al. (2015h)         |                    Not explained in the paper
Holoien et al. (2015i)         |                    Not explained in the paper
Holoien et al. (2015j)         |                    Not explained in the paper
Holoien et al. (2015k)         |                    Not explained in the paper
Holoien et al. (2015l)         |                    Not explained in the paper
Holoien et al. (2015m)         |                    Not explained in the paper
Holoien et al. (2015n)         |                    Not explained in the paper
Holoien et al. (2015o)         |                    Not explained in the paper
Holoien et al. (2015p)         |                    Not explained in the paper
Holoien et al. (2015q)         |                    Not explained in the paper
Holoien et al. (2015r)         |                    Not explained in the paper
Holoien et al. (2015s)         |                    Not explained in the paper
Holoien et al. (2015t)         |                    Not explained in the paper
Hosseinzadeh et al. (2015a)    |                    Not explained in the paper
Hosseinzadeh et al. (2015b)    |                    Not explained in the paper
Hosseinzadeh et al. (2015c)    |                    Not explained in the paper
Hosseinzadeh et al. (2015d)    |                    Not explained in the paper
Hosseinzadeh et al. (2015e)    |                    Not explained in the paper
Hosseinzadeh et al. (2015f)    |                    Not explained in the paper
Hosseinzadeh et al. (2015g)    |                    Not explained in the paper
Kangas et al. (2015)           |                    Not explained in the paper
Kim et al. (2015)              |                    Not explained in the paper
Kiyota et al. (2015a)          |2015ATel.6870....1K
Kiyota et al. (2015b)          |2015ATel.6915....1K
Kiyota et al. (2015c)          |2015ATel.6936....1K
Kiyota et al. (2015d)          |2015ATel.6945....1K
Kiyota et al. (2015e)          |2015ATel.6979....1K
