Nicolas et al. (2014h)             2014ATel.6798....1N
Ochner et al. (2014a)              2014ATel.6161....1O
Ochner et al. (2014b)              2014ATel.6648....1O
Ochner et al. (2015)               2015ATel.6872....1O
Pastorello et al. (2013)           2013ATel.5655....1P
Prieto et al. (2013a)              2013ATel.5110....1P
Prieto et al. (2013b)              2013ATel.5181....1P
Prieto et al. (2013c)              2013ATel.5333....1P
Prieto et al. (2013d)              2013ATel.5343....1P
Prieto et al. (2013e)              2013ATel.5363....1P
Prieto et al. (2013f)              2013ATel.5460....1P
Prieto et al. (2013g)              2013ATel.5508....1P
Prieto et al. (2013h)                                  Not explained in the paper
Prieto et al. (2013i)                                  Not explained in the paper
Prieto et al. (2013j)                                  Not explained in the paper
Prieto et al. (2013k)                                  Not explained in the paper
Prieto et al. (2014a)              2014ATel.5820....1P
Prieto et al. (2014b)              2014ATel.6249....1P
Prieto et al. (2014c)              2014ATel.6293....1P
Prieto et al. (2014d)                                  Not explained in the paper
Prieto et al. (2014e)                                  Not explained in the paper
Prieto et al. (2014f)                                  Not explained in the paper
Romero-canizales et al. (2014)     2014ATel.6618....1R
Shappee et al. (2013a)             2013ATel.5654....1S
Shappee et al. (2013b)             2013ATel.5665....1S
Shappee et al. (2014a)             2014ATel.6112....1S
Shappee et al. (2014b)             2014ATel.6143....1S
Shappee et al. (2014c)             2014ATel.6152....1S
Shappee et al. (2014d)             2014ATel.6152....1S
Shappee et al. (2014e)             2014ATel.6812....1S
Shappee et al. (2014f)                                 Not explained in the paper
Shappee et al. (2014g)                                 Not explained in the paper
Shappee et al. (2015b)                                 Not explained in the paper
Shappee et al. (2015c)                                 Not explained in the paper
Shappee et al. (2015d)                                 Not explained in the paper
Shappee et al. (2015e)                                 Not explained in the paper
Shappee et al. (2015f)                                 Not explained in the paper
Shappee et al. (2016f)             2016ApJ...826..144S Cat. (J/ApJ/826/144
Shappee et al. (2015)              2015ATel.6882....1S
Stanek et al. (2013a)              2013ATel.5183....1S
Stanek et al. (2013b)              2013ATel.5193....1S
Stanek et al. (2014a)              2014ATel.6102....1S
Stanek et al. (2014b)              2014ATel.6260....1S
Stanek et al. (2014c)              2014ATel.6269....1S
Stanek et al. (2014d)              2014ATel.6301....1S
Stanek et al. (2014e)              2014ATel.6318....1S
Stanek et al. (2014f)              2014ATel.6404....1S
Stanek et al. (2014g)              2014ATel.6830....1S
